period,part,kind,code,name,release,total,within18_count,middle_count,over52_count,open_count,closed_share,within18_share,middle_share,over52_share,p50,p50_band_lower,p75,p75_band_lower,p92,p92_band_lower,p95,p95_band_lower,gap_weeks,p50_change,p50_threshold,p50_outlier,p92_change,p92_threshold,p92_outlier,total_change,total_threshold,total_outlier,previous_release,release_boundary
2024-01,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7575914,4321271,2933249,321394,376,0.999950369025,0.570395994464,0.387180873489,0.0424231320472,15.0395728511,15,28.5058518566,28,45.2683845915,45,50.3807723533,50,27.2683845915,,0.8967580182374979,False,,1.2153790610750077,False,,93550.5,False,,False
2024-02,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7536907,4338109,2893879,304919,252,0.999966564534,0.575582132034,0.383961086424,0.0404567815418,14.7854880885,14,28.1973636615,28,44.6293613659,44,50.0046272809,50,26.6293613659,-0.25408476260000157,0.8967580182374979,False,-0.639023225599999,1.2153790610750077,False,-39007.0,93550.5,False,revised-or-established,False
2024-03,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7538830,4312728,2916803,309299,232,0.999969225994,0.572068610116,0.386903936022,0.0410274538622,14.8694465445,14,28.0497385388,28,44.6696371692,44,49.7384971987,49,26.6696371692,0.08395845600000129,0.8967580182374979,False,0.04027580329999836,1.2153790610750077,False,1923.0,93550.5,False,revised-or-established,False
2024-04,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7570371,4408948,2858834,302589,275,0.999963674171,0.582395235319,0.377634596772,0.0399701679085,13.9131996563,13,28.0163241271,28,44.7625742611,44,49.8201718523,49,26.7625742611,-0.9562468882000008,0.8967580182374979,True,0.09293709189999788,1.2153790610750077,False,31541.0,93550.5,False,revised-or-established,False
2024-05,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7601650,4491807,2802343,307500,259,0.99996592845,0.59089894957,0.368649306401,0.0404517440293,14.2035131069,14,28.1169965724,28,44.9509091943,44,49.9985136519,49,26.9509091943,0.29031345059999936,0.8967580182374979,False,0.18833493320000372,1.2153790610750077,False,31279.0,93550.5,False,revised-or-established,False
2024-06,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7621297,4487082,2831522,302693,120,0.999984254649,0.588755693421,0.371527575949,0.03971673063,14.3422540374,14,27.9248100444,27,44.6961442475,44,49.8097824121,49,26.6961442475,0.13874093050000091,0.8967580182374979,False,-0.2547649468000017,1.2153790610750077,False,19647.0,93550.5,False,revised-or-established,False
2024-07,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7623081,4484009,2848746,290326,107,0.999985963681,0.588214791368,0.373700082683,0.0380851259484,13.9832664359,13,26.8600007684,26,44.1081757179,44,49.4181644436,49,26.1081757179,-0.35898760150000086,0.8967580182374979,False,-0.5879685296000048,1.2153790610750077,False,1784.0,93550.5,False,revised-or-established,False
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7641774,4452245,2906865,282664,124,0.999983773401,0.582619297561,0.38039138556,0.0369893168785,14.5976038858,14,27.4227098156,27,44.3740800315,44,49.2669083177,49,26.3740800315,0.6143374499000007,0.8967580182374979,False,0.26590431360000366,1.2153790610750077,False,18693.0,93550.5,False,revised-or-established,False
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7571549,4429902,2892623,249024,113,0.999985075709,0.585072090268,0.382038470596,0.0328894391359,14.4043179513,14,27.2932923096,27,43.6989094947,43,48.4681925538,48,25.6989094947,-0.19328593450000042,0.8967580182374979,False,-0.6751705368000032,1.2153790610750077,False,-70225.0,93550.5,False,revised-or-established,False
2024-10,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7541371,4444500,2861957,234914,148,0.999980374921,0.589349071939,0.379500889162,0.0311500388988,14.2277888281,14,26.8616346093,26,42.3644639644,42,48.0690445043,48,24.3644639644,-0.17652912319999992,0.8967580182374979,False,-1.3344455302999947,1.2153790610750077,True,-30178.0,93550.5,False,revised-or-established,False
