candidate_id,previous_period,period,provider,provider_name,code_a,code_b,before_a,after_a,change_a,before_b,after_b,change_b,absolute_change_ratio,paired_net_change,target_code,target_change_share_national_pct,classification,disposition
RC1804,2025-08,2025-09,NT405,BISHOPS WOOD HOSPITAL,C_301,X06,23,25,2,7,3,-4,0.5,-2,C_301,0.0005268717778497,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1805,2025-10,2025-11,NT327,SPIRE MANCHESTER HOSPITAL,C_100,C_301,300,298,-2,0,2,2,1.0,0,C_100,0.0005245598942487,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1806,2025-10,2025-11,NT212,"NUFFIELD HEALTH, CHICHESTER HOSPITAL",C_100,C_101,20,22,2,1,0,-1,0.5,1,C_100,0.0005245598942487,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1807,2025-10,2025-11,NT219,"NUFFIELD HEALTH, HEREFORD HOSPITAL",C_100,X06,87,89,2,3,1,-2,1.0,0,C_100,0.0005245598942487,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1808,2025-10,2025-11,RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,C_100,C_150,3271,3273,2,3,0,-3,0.6666666666666666,-1,C_100,0.0005245598942487,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1809,2025-10,2025-11,NT408,CHAUCER HOSPITAL,C_100,X06,98,96,-2,1,2,1,0.5,-1,C_100,0.0005245598942487,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1810,2025-10,2025-11,NT239,"NUFFIELD HEALTH, TUNBRIDGE WELLS HOSPITAL",C_100,C_120,18,16,-2,0,3,3,0.6666666666666666,1,C_100,0.0005245598942487,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1811,2025-10,2025-11,NVC17,ROWLEY HALL HOSPITAL,C_100,C_400,123,121,-2,0,1,1,0.5,-1,C_100,0.0005245598942487,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1812,2026-01,2026-02,AAH,TETBURY HOSPITAL TRUST LTD,C_101,C_320,37,36,-1,0,2,2,0.5,1,C_320,0.0005243714752404,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1813,2026-01,2026-02,AAH,TETBURY HOSPITAL TRUST LTD,C_320,C_340,0,2,2,4,2,-2,1.0,0,C_320,0.0005243714752404,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1814,2026-04,2026-05,NT239,"NUFFIELD HEALTH, TUNBRIDGE WELLS HOSPITAL",C_100,C_101,11,13,2,6,2,-4,0.5,-2,C_100,0.0005242505183527,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1815,2026-04,2026-05,DJH01,THE ROYAL BUCKINGHAMSHIRE HOSPITAL LTD,C_100,C_110,31,29,-2,1,2,1,0.5,-1,C_100,0.0005242505183527,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1816,2026-04,2026-05,NT433,SARUM ROAD HOSPITAL,C_100,X06,7,5,-2,1,4,3,0.6666666666666666,1,C_100,0.0005242505183527,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1817,2026-04,2026-05,NT239,"NUFFIELD HEALTH, TUNBRIDGE WELLS HOSPITAL",C_100,C_150,11,13,2,1,0,-1,0.5,1,C_100,0.0005242505183527,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1818,2025-09,2025-10,NVC27,BOSTON WEST HOSPITAL,C_300,C_301,1,0,-1,119,121,2,0.5,1,C_301,0.0005229469104296,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1819,2025-09,2025-10,NT410,CHILTERN HOSPITAL,C_301,C_320,20,18,-2,0,1,1,0.5,-1,C_301,0.0005229469104296,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1820,2026-01,2026-02,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,C_100,X06,1193,1195,2,1,0,-1,0.5,1,C_100,0.000519481868784,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1821,2026-01,2026-02,NT435,SHELBURNE HOSPITAL,C_100,C_502,7,9,2,1,0,-1,0.5,1,C_100,0.000519481868784,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1822,2026-01,2026-02,NVC01,ASHTEAD HOSPITAL,C_100,C_502,173,171,-2,0,1,1,0.5,-1,C_100,0.000519481868784,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1823,2025-11,2025-12,NT219,"NUFFIELD HEALTH, HEREFORD HOSPITAL",C_100,X06,89,87,-2,1,2,1,0.5,-1,C_100,0.0005187421540249,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1824,2025-11,2025-12,NT312,SPIRE ALEXANDRA HOSPITAL,C_100,C_160,184,182,-2,0,1,1,0.5,-1,C_100,0.0005187421540249,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1825,2025-11,2025-12,NT490,SOUTHEND PRIVATE HOSPITAL,C_100,C_330,37,39,2,1,0,-1,0.5,1,C_100,0.0005187421540249,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1826,2025-12,2026-01,NT443,WINTERBOURNE HOSPITAL,C_100,X06,34,32,-2,0,1,1,0.5,-1,C_100,0.0005180434534848,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1827,2026-02,2026-03,RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,C_120,X03,1,4,3,4,1,-3,1.0,0,C_120,0.0005179969403647,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1828,2024-12,2025-01,NT411,CLEMENTINE CHURCHILL HOSPITAL,C_130,C_150,38,35,-3,0,4,4,0.75,1,C_130,0.00051733771116,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1829,2024-12,2025-01,NT411,CLEMENTINE CHURCHILL HOSPITAL,C_130,C_400,38,35,-3,1,6,5,0.6,2,C_130,0.00051733771116,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1830,2025-03,2025-04,NT364,SPIRE MONTEFIORE HOSPITAL,C_140,C_301,0,1,1,2,0,-2,0.5,-1,C_301,0.0005167758355619,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1831,2025-03,2025-04,NT233,"NUFFIELD HEALTH, PLYMOUTH HOSPITAL",C_101,C_301,15,14,-1,1,3,2,0.5,1,C_301,0.0005167758355619,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1832,2025-03,2025-04,NVC31,BLAKELANDS HOSPITAL,C_301,X06,285,283,-2,0,1,1,0.5,-1,C_301,0.0005167758355619,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1833,2025-03,2025-04,F9Z4V,CIRCLE READING HOSPITAL,C_301,C_400,16,14,-2,0,1,1,0.5,-1,C_301,0.0005167758355619,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1834,2025-09,2025-10,NT304,SPIRE SOUTHAMPTON HOSPITAL,C_101,C_320,1,0,-1,2,4,2,0.5,1,C_320,0.0005160930722246,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
