period,part,kind,code,name,release,total,within18_count,middle_count,over52_count,open_count,closed_share,within18_share,middle_share,over52_share,p50,p50_band_lower,p75,p75_band_lower,p92,p92_band_lower,p95,p95_band_lower,gap_weeks
2019-02,Part_2,baseline,C_100,General surgery,revised-or-established,317920,268842,48689,389,389,0.998776421741,0.845627830901,0.15314859084,0.00122357825868,6.83375104428,6,14.1511335013,14,24.5884361661,24,29.2999410725,29,6.58843616608
2019-02,Part_2,baseline,C_110,Trauma and orthopaedics,revised-or-established,493564,411804,81264,496,496,0.99899506447,0.834347723902,0.164647340568,0.00100493553014,7.30079806125,7,14.6844947965,14,24.7946458739,24,29.1893733968,29,6.79464587394
2019-02,Part_2,baseline,C_120,ENT,revised-or-established,293344,248840,44355,149,149,0.999492063925,0.848287335006,0.151204728919,0.000507936075052,6.99987636768,6,14.0832939509,14,23.5995365169,23,28.0892367906,28,5.59953651685
2019-02,Part_2,baseline,C_130,Ophthalmology,revised-or-established,423742,364896,58705,141,141,0.999667250355,0.861127761704,0.138539488651,0.000332749644831,6.88075429839,6,13.8275508762,13,22.140881295,22,25.5173720137,25,4.14088129496
2019-02,Part_2,baseline,C_301,Gastroenterology,revised-or-established,219774,195090,24654,30,30,0.999863496137,0.887684621475,0.112178874662,0.000136503863059,6.54440063091,6,12.9309355154,12,20.8587401575,20,24.5817862166,24,2.85874015748
2019-02,Part_2,baseline,C_320,Cardiology,revised-or-established,201406,180899,20420,87,87,0.999568036702,0.898180789053,0.101387247649,0.000431963298015,6.77374769643,6,12.8220854922,12,19.755131744,19,23.1468796434,23,1.75513174404
2019-02,Part_2,baseline,C_400,Neurology,revised-or-established,126174,108429,17723,22,22,0.999825637612,0.859360882591,0.140464755021,0.000174362388448,7.59065113501,7,14.0949530516,14,22.1303276131,22,25.6046223224,25,4.1303276131
2019-02,Part_2,baseline,C_999,"England, all specialties",revised-or-established,4144110,3604256,537892,1962,1962,0.999526556969,0.869729809296,0.129796747673,0.000473443031194,6.6915701827,6,13.4344227489,13,22.0644396493,22,26.0124455338,26,4.06443964929
