period,sheet,row,code,p,n,band,official,linear_pN,difference
2024-01,Sub-ICB,158,C_999,0.92,5728,54,54.8692063492064,54.86920634920635,-4.973799150320701e-14
2024-01,Sub-ICB,183,C_100,0.5,579,14,14.9583333333333,14.958333333333334,3.375077994860476e-14
2024-01,Sub-ICB,183,C_100,0.92,579,47,47.17,47.170000000000016,1.4210854715202004e-14
2024-01,Sub-ICB,184,C_101,0.5,617,14,14.96875,14.96875,0.0
2024-01,Sub-ICB,184,C_101,0.92,617,48,48.3771428571429,48.37714285714286,-4.263256414560601e-14
2024-01,Sub-ICB,185,C_110,0.5,1322,15,15.046511627907,15.046511627906977,-2.3092638912203256e-14
2024-01,Sub-ICB,185,C_110,0.92,1322,42,42.32,42.32,0.0
2024-01,Sub-ICB,186,C_120,0.5,1376,20,20.0357142857143,20.035714285714285,-1.4210854715202004e-14
2024-01,Sub-ICB,186,C_120,0.92,1376,49,49.6092307692308,49.60923076923078,-2.1316282072803006e-14
2024-01,Sub-ICB,187,C_130,0.5,281,12,12.75,12.75,0.0
2024-01,Sub-ICB,187,C_130,0.92,281,43,43.1733333333333,43.173333333333346,4.973799150320701e-14
2024-01,Sub-ICB,188,C_140,0.5,65,18,18.3,18.3,0.0
2024-01,Sub-ICB,188,C_140,0.92,65,39,39.4,39.400000000000006,7.105427357601002e-15
2024-01,Sub-ICB,189,C_150,0.5,21,19,19.5,19.5,0.0
2024-01,Sub-ICB,189,C_150,0.92,21,62,62.32,62.32,0.0
2024-01,Sub-ICB,190,C_160,0.5,262,15,15.5714285714286,15.571428571428571,-2.842170943040401e-14
2024-01,Sub-ICB,190,C_160,0.92,262,43,43.76,43.760000000000005,7.105427357601002e-15
2024-01,Sub-ICB,192,C_300,0.5,26,19,19.3333333333333,19.333333333333332,3.197442310920451e-14
2024-01,Sub-ICB,192,C_300,0.92,26,39,39.92,39.92,0.0
2024-01,Sub-ICB,193,C_301,0.5,430,16,16.4285714285714,16.428571428571427,2.842170943040401e-14
2024-01,Sub-ICB,193,C_301,0.92,430,43,43.65,43.650000000000006,7.105427357601002e-15
2024-01,Sub-ICB,194,C_320,0.5,369,13,13.8333333333333,13.833333333333334,3.375077994860476e-14
2024-01,Sub-ICB,194,C_320,0.92,369,40,40.74,40.74000000000001,7.105427357601002e-15
2024-01,Sub-ICB,195,C_330,0.5,533,16,16.0357142857143,16.035714285714285,-1.4210854715202004e-14
2024-01,Sub-ICB,195,C_330,0.92,533,44,44.06,44.06,0.0
2024-01,Sub-ICB,196,C_340,0.5,179,15,15.625,15.625,0.0
2024-01,Sub-ICB,196,C_340,0.92,179,45,45.84,45.84,0.0
2024-01,Sub-ICB,197,C_400,0.5,193,15,15.9,15.9,0.0
2024-01,Sub-ICB,197,C_400,0.92,193,45,45.64,45.64,0.0
2024-01,Sub-ICB,198,C_410,0.5,59,12,12.125,12.125,0.0
2024-01,Sub-ICB,198,C_410,0.92,59,36,36.28,36.28,0.0
2024-01,Sub-ICB,200,C_502,0.5,505,15,15.55,15.55,0.0
2024-01,Sub-ICB,200,C_502,0.92,505,45,45.4,45.400000000000006,7.105427357601002e-15
2024-01,Sub-ICB,206,C_999,0.5,7899,15,15.6111111111111,15.61111111111111,1.0658141036401503e-14
2024-01,Sub-ICB,206,C_999,0.92,7899,45,45.2250746268657,45.22507462686567,-2.842170943040401e-14
2024-01,Sub-ICB,208,C_101,0.5,220,17,18,18.0,0.0
2024-01,Sub-ICB,208,C_101,0.92,220,93,93.4,93.4,0.0
2024-01,Sub-ICB,214,C_160,0.5,140,14,14.0833333333333,14.083333333333334,3.375077994860476e-14
2024-01,Sub-ICB,214,C_160,0.92,140,85,85.8,85.80000000000001,1.4210854715202004e-14
2024-01,Sub-ICB,230,C_999,0.5,2792,18,18.6,18.6,0.0
2024-01,Sub-ICB,230,C_999,0.92,2792,66,66.4218181818182,66.42181818181821,1.4210854715202004e-14
2024-01,Sub-ICB,232,C_101,0.5,25,16,16.5,16.5,0.0
2024-01,Sub-ICB,232,C_101,0.92,25,30,31,31.0,0.0
2024-01,Sub-ICB,233,C_110,0.5,62,17,17.3333333333333,17.333333333333332,3.197442310920451e-14
2024-01,Sub-ICB,233,C_110,0.92,62,36,36.04,36.04,0.0
2024-01,Sub-ICB,234,C_120,0.5,30,18,19,19.0,0.0
2024-01,Sub-ICB,234,C_120,0.92,30,40,40.6,40.6,0.0
2024-01,Sub-ICB,235,C_130,0.5,49,8,8.5,8.5,0.0
2024-01,Sub-ICB,235,C_130,0.92,49,33,33.08,33.080000000000005,7.105427357601002e-15
2024-01,Sub-ICB,241,C_301,0.5,25,14,14.25,14.25,0.0
2024-01,Sub-ICB,241,C_301,0.92,25,32,33,33.0,0.0
2024-01,Sub-ICB,243,C_330,0.5,21,16,16.75,16.75,0.0
2024-01,Sub-ICB,243,C_330,0.92,21,36,36.32,36.32,0.0
2024-01,Sub-ICB,254,C_999,0.5,357,14,14.8636363636364,14.863636363636363,-3.730349362740526e-14
2024-01,Sub-ICB,254,C_999,0.92,357,36,36.288,36.288,0.0
2024-01,Sub-ICB,255,C_100,0.5,7752,14,14.80859375,14.80859375,0.0
2024-01,Sub-ICB,255,C_100,0.92,7752,40,40.2973333333333,40.297333333333334,3.552713678800501e-14
2024-01,Sub-ICB,256,C_101,0.5,8393,10,10.6293103448276,10.629310344827585,-1.4210854715202004e-14
2024-01,Sub-ICB,256,C_101,0.92,8393,33,33.6097435897436,33.609743589743594,-7.105427357601002e-15
2024-01,Sub-ICB,257,C_110,0.5,18412,14,14.6437847866419,14.64378478664193,3.019806626980426e-14
2024-01,Sub-ICB,257,C_110,0.92,18412,38,38.7539130434783,38.75391304347827,-2.842170943040401e-14
2024-01,Sub-ICB,258,C_120,0.5,12841,14,14.0982587064677,14.098258706467663,-3.730349362740526e-14
2024-01,Sub-ICB,258,C_120,0.92,12841,36,36.6081415929204,36.60814159292036,-3.552713678800501e-14
2024-01,Sub-ICB,259,C_130,0.5,14106,8,8.90989660265879,8.909896602658788,-1.7763568394002505e-15
2024-01,Sub-ICB,259,C_130,0.92,14106,27,27.6334814814815,27.633481481481486,-1.4210854715202004e-14
2024-01,Sub-ICB,260,C_140,0.5,7979,13,13.6285140562249,13.6285140562249,0.0
2024-01,Sub-ICB,260,C_140,0.92,7979,37,37.967323943662,37.967323943661974,-2.842170943040401e-14
2024-01,Sub-ICB,261,C_150,0.5,2898,18,18.2542372881356,18.25423728813559,-7.105427357601002e-15
2024-01,Sub-ICB,261,C_150,0.92,2898,45,45.3113043478261,45.3113043478261,0.0
2024-01,Sub-ICB,262,C_160,0.5,2575,14,14.8440860215054,14.844086021505376,-2.3092638912203256e-14
2024-01,Sub-ICB,262,C_160,0.92,2575,41,41.3333333333333,41.333333333333336,3.552713678800501e-14
