period,kind,part,code,measure,independent,primary,difference,status
2019-02,baseline,Part_2,C_400,over52_count,22.0,22.0,0.0,VERIFIED
2019-02,baseline,Part_2,C_400,open_count,22.0,22.0,0.0,VERIFIED
2019-02,baseline,Part_2,C_400,within18_share,0.8593608825907081,0.859360882591,-2.9187763317395365e-13,VERIFIED
2019-02,baseline,Part_2,C_400,middle_share,0.1404647550208442,0.140464755021,-1.557920459305251e-13,VERIFIED
2019-02,baseline,Part_2,C_400,over52_share,0.0001743623884476,0.000174362388448,-4.0001639153852686e-16,VERIFIED
2019-02,baseline,Part_2,C_400,closed_share,0.9998256376115524,0.999825637612,-4.476419235288631e-13,VERIFIED
2019-02,baseline,Part_2,C_400,gap_weeks,4.130327613104527,4.1303276131,4.526157226791838e-12,VERIFIED
2019-02,baseline,Part_2,C_999,total,4144110.0,4144110.0,0.0,VERIFIED
2019-02,baseline,Part_2,C_999,within18_count,3604256.0,3604256.0,0.0,VERIFIED
2019-02,baseline,Part_2,C_999,middle_count,537892.0,537892.0,0.0,VERIFIED
2019-02,baseline,Part_2,C_999,over52_count,1962.0,1962.0,0.0,VERIFIED
2019-02,baseline,Part_2,C_999,open_count,1962.0,1962.0,0.0,VERIFIED
2019-02,baseline,Part_2,C_999,within18_share,0.8697298092956027,0.869729809296,-3.97237798210881e-13,VERIFIED
2019-02,baseline,Part_2,C_999,middle_share,0.1297967476732036,0.129796747673,2.0358714714063808e-13,VERIFIED
2019-02,baseline,Part_2,C_999,over52_share,0.0004734430311936,0.000473443031194,-4.0001639153852686e-16,VERIFIED
2019-02,baseline,Part_2,C_999,closed_share,0.9995265569688064,0.999526556969,-1.9351187319216478e-13,VERIFIED
2019-02,baseline,Part_2,C_999,gap_weeks,4.064439649285738,4.06443964929,-4.261480057721201e-12,VERIFIED
2024-01,monthly,Part_2,C_100,total,424169.0,424169.0,0.0,VERIFIED
2024-01,monthly,Part_2,C_100,within18_count,233202.0,233202.0,0.0,VERIFIED
