previous_period,period,population,providers,total_before,total_after,p50_before,p50_after,p50_change,p92_before,p92_after,within18_change,middle_change,over52_change
2024-01,2024-02,all,465,7575914,7536907,15.039572851097871,14.785488088545508,-0.25408476255236323,45.26838459148804,44.62936136585008,16838,-39370,-16475
2024-01,2024-02,common,445,7551911,7536534,15.042947780692632,14.785482905894732,-0.2574648747979005,45.25833599750478,44.629909764210765,30726,-30938,-15165
2024-02,2024-03,all,451,7536907,7538830,14.785488088545508,14.869446544516588,0.08395845597108043,44.62936136585008,44.66963716924392,-25381,22924,4380
2024-02,2024-03,common,444,7521585,7538768,14.79578858696214,14.869618873966024,0.07383028700388472,44.626986346741255,44.669725430183114,-14854,26790,5247
2024-03,2024-04,all,447,7538830,7570371,14.869446544516588,13.913199656343814,-0.9562468881727746,44.66963716924392,44.76257426109516,96220,-57969,-6710
2024-03,2024-04,common,443,7536392,7570365,14.875252985788315,13.913214469110445,-0.96203851667787,44.673025002224406,44.76258315574911,98560,-57879,-6708
2024-04,2024-05,all,446,7570371,7601650,13.913199656343814,14.20351310694919,0.2903134506053764,44.76257426109516,44.950909194334365,82859,-56491,4911
2024-04,2024-05,common,444,7570371,7601521,13.913199656343814,14.203846531608141,0.2906468752643274,44.76257426109516,44.95110487495023,82730,-56491,4911
2024-05,2024-06,all,449,7601650,7621297,14.20351310694919,14.342254037421007,0.13874093047181724,44.950909194334365,44.69614424746598,-4725,29179,-4807
2024-05,2024-06,common,444,7599091,7619602,14.208488429803337,14.34540571251485,0.13691728271151327,44.95435051389996,44.69888220328716,-4063,29375,-4801
2024-06,2024-07,all,451,7621297,7623081,14.342254037421007,13.983266435858885,-0.35898760156212184,44.69614424746598,44.108175717852696,-3073,17224,-12367
2024-06,2024-07,common,447,7621297,7622705,14.342254037421007,13.9832337118948,-0.3590203255262079,44.69614424746598,44.108047053315396,-3287,17085,-12390
2024-07,2024-08,all,453,7623081,7641774,13.983266435858885,14.597603885797334,0.6143374499384482,44.108175717852696,44.37408003153953,-31764,58119,-7662
2024-07,2024-08,common,451,7623081,7641659,13.983266435858885,14.597873998431913,0.6146075625730276,44.108175717852696,44.37426138379657,-31879,58119,-7662
2024-08,2024-09,all,459,7641774,7571549,14.597603885797334,14.404317951279685,-0.19328593451764853,44.37408003153953,43.69890949472516,-22343,-14242,-33640
2024-08,2024-09,common,451,7641470,7570205,14.598300895448178,14.40661959624796,-0.19168129920021748,44.37455943228859,43.700684830088115,-23221,-14400,-33644
2024-09,2024-10,all,460,7571549,7541371,14.404317951279685,14.22778882811205,-0.1765291231676347,43.69890949472516,42.36446396439973,14598,-30666,-14110
2024-09,2024-10,common,456,7571082,7540794,14.404461845915412,14.229382838830874,-0.1750790070845376,43.69893645769709,42.36535706684726,14351,-30546,-14093
2024-10,2024-11,all,464,7541371,7479867,14.22778882811205,13.997676015951132,-0.23011281216091817,42.36446396439973,42.23204572384471,-19799,-28358,-13347
2024-10,2024-11,common,457,7536324,7475311,14.227750630168487,14.006146769694018,-0.22160386047446856,42.36653595277267,42.23839687739597,-20991,-26726,-13296
2024-11,2024-12,all,464,7479867,7463085,13.997676015951132,14.213493830718047,0.21581781476691475,42.23204572384471,42.734958528911996,-26157,30540,-21165
2024-11,2024-12,common,460,7458708,7458130,14.017324809660163,14.222796271358732,0.20547146169856845,42.24875425340709,42.734952289594595,-14538,35152,-21192
2024-12,2025-01,all,465,7463085,7427669,14.213493830718047,14.435403793538073,0.2219099628200265,42.734958528911996,42.39696532481599,-26700,-7142,-1574
2024-12,2025-01,common,459,7432090,7423391,14.2247358974224,14.435856494059031,0.21112059663663096,42.75063374457816,42.39906183995446,-8746,1420,-1373
2025-01,2025-02,all,466,7427669,7401153,14.435403793538073,14.207862147378773,-0.22754164615930073,42.39696532481599,42.2183233356486,8107,-29320,-5303
2025-01,2025-02,common,459,7421590,7400234,14.43838419058265,14.209310426079028,-0.22907376450362094,42.4012454077884,42.21980762349772,11347,-27443,-5260
2025-02,2025-03,all,467,7401153,7418598,14.207862147378773,13.820440441539898,-0.38742170583887514,42.2183233356486,41.890477884267035,54771,-24044,-13282
2025-02,2025-03,common,461,7399149,7416374,14.206249807910993,13.832346641770553,-0.3739031661404404,42.20559853445916,41.893407766031025,53317,-23361,-12731
2025-03,2025-04,all,472,7418598,7389065,13.820440441539898,13.258164624994427,-0.5622758165454709,41.890477884267035,42.261807186054796,-21040,-18273,9780
2025-03,2025-04,common,462,7416530,7381669,13.822700802109658,13.271449810441807,-0.5512509916678514,41.89283820502265,42.27135146674258,-26296,-18330,9765
2025-04,2025-05,all,471,7389065,7355950,13.258164624994427,13.56979489010553,0.3116302651111038,42.261807186054796,42.526729349836934,68394,-108325,6816
2025-04,2025-05,common,466,7388574,7355916,13.257821943051896,13.569822511616835,0.3120005685649385,42.2592508004269,42.52664772185457,68571,-108201,6972
2025-05,2025-06,all,471,7355950,7367836,13.56979489010553,13.397750439012574,-0.1720444510929564,42.526729349836934,41.80654414023674,50994,-34024,-5084
2025-05,2025-06,common,468,7355950,7362946,13.56979489010553,13.393687262880842,-0.1761076272246882,42.526729349836934,41.798408662900194,48648,-36193,-5459
