period,kind,part,code,p50,p50_lower_shift,p50_midpoint_shift,p75_lower_shift,p75_midpoint_shift,p92,p92_lower_shift,p92_midpoint_shift,p95_lower_shift,p95_midpoint_shift
2019-02,baseline,Part_2,C_999,6.691570182701094,-0.6915701827010938,-0.1915701827010938,-0.4344227488706824,0.0655772511293175,22.064439649285735,-0.0644396492857382,0.4355603507142618,-0.012445533769064,0.4875544662309359
2019-02,baseline,Part_2,C_100,6.83375104427736,-0.8337510442773599,-0.3337510442773599,-0.1511335012594461,0.3488664987405538,24.5884361660846,-0.5884361660846018,-0.0884361660846018,-0.2999410724808484,0.2000589275191515
2019-02,baseline,Part_2,C_110,7.300798061254335,-0.3007980612543353,0.1992019387456647,-0.6844947964695027,-0.1844947964695027,24.79464587394412,-0.7946458739441198,-0.2946458739441198,-0.1893733968486586,0.3106266031513414
2019-02,baseline,Part_2,C_120,6.999876367682512,-0.9998763676825124,-0.4998763676825124,-0.0832939508506616,0.4167060491493384,23.599536516853945,-0.599536516853945,-0.099536516853945,-0.0892367906066446,0.4107632093933553
2019-02,baseline,Part_2,C_130,6.88075429839157,-0.8807542983915697,-0.3807542983915697,-0.8275508762012436,-0.3275508762012435,22.140881294964032,-0.1408812949640321,0.3591187050359679,-0.5173720136518654,-0.0173720136518653
2019-02,baseline,Part_2,C_301,6.544400630914827,-0.5444006309148266,-0.0444006309148266,-0.9309355153883736,-0.4309355153883736,20.858740157480323,-0.8587401574803231,-0.358740157480323,-0.5817862165963348,-0.0817862165963347
2019-02,baseline,Part_2,C_320,6.773747696431563,-0.7737476964315633,-0.2737476964315632,-0.8220854922279788,-0.3220854922279788,19.75513174404016,-0.7551317440401597,-0.2551317440401597,-0.1468796433878019,0.3531203566121981
2019-02,baseline,Part_2,C_400,7.590651135005974,-0.5906511350059738,-0.0906511350059737,-0.0949530516431931,0.4050469483568069,22.130327613104527,-0.1303276131045265,0.3696723868954734,-0.6046223224351621,-0.1046223224351621
2024-01,monthly,Part_2,C_999,15.039572851097873,-0.039572851097871,0.460427148902129,-0.5058518565929404,-0.0058518565929404,45.26838459148804,-0.2683845914880365,0.2316154085119635,-0.3807723533232234,0.1192276466767765
2024-01,monthly,Part_2,C_100,15.79530760188088,-0.7953076018808787,-0.2953076018808787,-0.832365925441465,-0.332365925441465,47.34336421952959,-0.3433642195295903,0.1566357804704097,-0.7747614264188769,-0.2747614264188769
2024-01,monthly,Part_2,C_110,16.14960026808368,-0.149600268083681,0.350399731916319,-0.8394626297852099,-0.3394626297852099,47.45109687146627,-0.4510968714662695,0.0489031285337304,-0.1949620039403186,0.3050379960596814
2024-01,monthly,Part_2,C_120,18.832861078315624,-0.8328610783156236,-0.3328610783156236,-0.8180106100795754,-0.3180106100795754,49.50393177345287,-0.5039317734528694,-0.0039317734528694,-0.1273131127450781,0.3726868872549218
