period,kind,part,code,measure,independent,primary,difference,status
2024-01,monthly,Part_2,C_400,p75,29.274416816200976,29.2744168162,9.769962616701378e-13,VERIFIED
2024-01,monthly,Part_2,C_400,p92,44.03178142076503,44.0317814208,-3.497291345411213e-11,VERIFIED
2024-01,monthly,Part_2,C_400,p95,48.51736571008093,48.5173657101,-1.907096702780109e-11,VERIFIED
2024-01,monthly,Part_2,C_999,p50,15.039572851097873,15.0395728511,-2.1280754936015e-12,VERIFIED
2024-01,monthly,Part_2,C_999,p75,28.50585185659294,28.5058518566,-7.059242079776595e-12,VERIFIED
2024-01,monthly,Part_2,C_999,p92,45.26838459148804,45.2683845915,-1.1965539670200087e-11,VERIFIED
2024-01,monthly,Part_2,C_999,p95,50.38077235332322,50.3807723533,2.3220536604640074e-11,VERIFIED
2024-02,monthly,Part_2,C_100,p50,15.561303827751196,15.5613038278,-4.880362780568248e-11,VERIFIED
2024-02,monthly,Part_2,C_100,p75,29.724351365100897,29.7243513651,8.988365607365267e-13,VERIFIED
2024-02,monthly,Part_2,C_100,p92,47.008552727272736,47.0085527273,-2.7263524771115044e-11,VERIFIED
2024-02,monthly,Part_2,C_100,p95,52.301310679611625,52.3013106796,1.1624479157035239e-11,VERIFIED
2024-02,monthly,Part_2,C_110,p50,16.157894736842106,16.1578947368,4.210676252114354e-11,VERIFIED
2024-02,monthly,Part_2,C_110,p75,29.945572263993316,29.945572264,-6.682654429823742e-12,VERIFIED
2024-02,monthly,Part_2,C_110,p92,47.18559424678275,47.1855942468,-1.7251977624255233e-11,VERIFIED
2024-02,monthly,Part_2,C_110,p95,52.664344473007695,52.664344473,7.695177828281885e-12,VERIFIED
2024-02,monthly,Part_2,C_120,p50,18.409520756531496,18.4095207565,3.149480676256644e-11,VERIFIED
2024-02,monthly,Part_2,C_120,p75,33.59018397764322,33.5901839776,4.3222314616286894e-11,VERIFIED
2024-02,monthly,Part_2,C_120,p92,49.60646178092987,49.6064617809,2.987121661135461e-11,VERIFIED
2024-02,monthly,Part_2,C_120,p95,54.01182634730539,54.0118263473,5.3859139370615594e-12,VERIFIED
2024-02,monthly,Part_2,C_130,p50,12.351101086246809,12.3511010862,4.6808779075036e-11,VERIFIED
2024-02,monthly,Part_2,C_130,p75,24.012810769731843,24.0128107697,3.184297270308889e-11,VERIFIED
2024-02,monthly,Part_2,C_130,p92,40.27931767833407,40.2793176783,3.40634187523392e-11,VERIFIED
2024-02,monthly,Part_2,C_130,p95,45.25172193877552,45.2517219388,-2.4485302674293052e-11,VERIFIED
2024-02,monthly,Part_2,C_301,p50,13.958960590660658,13.9589605907,-3.934275127903675e-11,VERIFIED
2024-02,monthly,Part_2,C_301,p75,26.80807970221152,26.8080797022,1.1517897746671224e-11,VERIFIED
2024-02,monthly,Part_2,C_301,p92,43.32102022867194,43.3210202287,-2.8059332635166356e-11,VERIFIED
2024-02,monthly,Part_2,C_301,p95,48.890085127691535,48.8900851277,-8.462563982902793e-12,VERIFIED
2024-02,monthly,Part_2,C_320,p50,14.124244338175584,14.1242443382,-2.4416024757556443e-11,VERIFIED
2024-02,monthly,Part_2,C_320,p75,25.942286947141316,25.9422869471,4.1314507370771025e-11,VERIFIED
2024-02,monthly,Part_2,C_320,p92,41.06729458917837,41.0672945892,-2.163602630389505e-11,VERIFIED
2024-02,monthly,Part_2,C_320,p95,45.93252069917203,45.9325206992,-2.7966962079517543e-11,VERIFIED
2024-02,monthly,Part_2,C_400,p50,16.56304202801868,16.563042028,1.8676615809454233e-11,VERIFIED
2024-02,monthly,Part_2,C_400,p75,29.511482254697285,29.5114822547,-2.7142732506035827e-12,VERIFIED
2024-02,monthly,Part_2,C_400,p92,43.61139772045592,43.6113977205,-4.4082071326556616e-11,VERIFIED
2024-02,monthly,Part_2,C_400,p95,48.37047970479705,48.3704797048,-2.9487523534044158e-12,VERIFIED
2024-02,monthly,Part_2,C_999,p50,14.785488088545508,14.7854880885,4.5508485868595017e-11,VERIFIED
2024-02,monthly,Part_2,C_999,p75,28.197363661459672,28.1973636615,-4.0326852968064486e-11,VERIFIED
2024-02,monthly,Part_2,C_999,p92,44.62936136585008,44.6293613659,-4.992273261450464e-11,VERIFIED
2024-02,monthly,Part_2,C_999,p95,50.004627280909894,50.0046272809,9.890754881780595e-12,VERIFIED
2024-03,monthly,Part_2,C_100,p50,15.586742109634551,15.5867421096,3.455191688317427e-11,VERIFIED
2024-03,monthly,Part_2,C_100,p75,29.50425442291491,29.5042544229,1.4910739309925702e-11,VERIFIED
2024-03,monthly,Part_2,C_100,p92,46.321588126159554,46.3215881262,-4.04440925194649e-11,VERIFIED
2024-03,monthly,Part_2,C_100,p95,51.95963276836157,51.9596327684,-3.842615114990622e-11,VERIFIED
2024-03,monthly,Part_2,C_110,p50,16.42932425617751,16.4293242562,-2.249223030048597e-11,VERIFIED
2024-03,monthly,Part_2,C_110,p75,29.802375405607787,29.8023754056,7.787548383930698e-12,VERIFIED
2024-03,monthly,Part_2,C_110,p92,46.63560734742249,46.6356073474,2.2495783014164772e-11,VERIFIED
2024-03,monthly,Part_2,C_110,p95,52.3294629720451,52.329462972,4.509814743869356e-11,VERIFIED
2024-03,monthly,Part_2,C_120,p50,18.481250910149992,18.4812509101,4.999023417440185e-11,VERIFIED
2024-03,monthly,Part_2,C_120,p75,33.577305925315116,33.5773059253,1.511324398961733e-11,VERIFIED
2024-03,monthly,Part_2,C_120,p92,49.85685515104571,49.856855151,4.5709214191447245e-11,VERIFIED
2024-03,monthly,Part_2,C_120,p95,54.615889011595804,54.6158890116,-4.192202140984591e-12,VERIFIED
2024-03,monthly,Part_2,C_130,p50,11.231085714285712,11.2310857143,-1.4289014416135615e-11,VERIFIED
2024-03,monthly,Part_2,C_130,p75,24.144901701130692,24.1449017011,3.069189347115753e-11,VERIFIED
2024-03,monthly,Part_2,C_130,p92,40.57950948634892,40.5795094863,4.89208673570829e-11,VERIFIED
2024-03,monthly,Part_2,C_130,p95,45.567334494773526,45.5673344948,-2.6474822334421333e-11,VERIFIED
2024-03,monthly,Part_2,C_301,p50,14.06219640971489,14.0621964097,1.48894230278529e-11,VERIFIED
