period,kind,part,code,total,within18_count,middle_count,over52_count,within18_share,middle_share,over52_share,open_count,closed_share,band_count,first_release,p50,p50_band_lower,p50_midpoint,p50_lower_shift,p50_midpoint_shift,p75,p75_band_lower,p75_midpoint,p75_lower_shift,p75_midpoint_shift,p92,p92_band_lower,p92_midpoint,p92_lower_shift,p92_midpoint_shift,p95,p95_band_lower,p95_midpoint,p95_lower_shift,p95_midpoint_shift,gap_weeks
2019-02,baseline,Part_2,C_999,4144110,3604256,537892,1962,0.8697298092956027,0.12979674767320365,0.00047344303119367003,1962,0.9995265569688063,53,False,6.691570182701094,6,6.5,-0.6915701827010938,-0.19157018270109383,13.434422748870682,13,13.5,-0.43442274887068244,0.06557725112931756,22.064439649285738,22,22.5,-0.0644396492857382,0.4355603507142618,26.012445533769064,26,26.5,-0.012445533769064099,0.4875544662309359,4.064439649285738
2019-02,baseline,Part_2,C_100,317920,268842,48689,389,0.8456278309008556,0.153148590840463,0.0012235782586814293,389,0.9987764217413185,53,False,6.83375104427736,6,6.5,-0.8337510442773599,-0.3337510442773599,14.151133501259446,14,14.5,-0.15113350125944613,0.34886649874055387,24.588436166084602,24,24.5,-0.5884361660846018,-0.08843616608460181,29.29994107248085,29,29.5,-0.29994107248084845,0.20005892751915155,6.588436166084602
2019-02,baseline,Part_2,C_110,493564,411804,81264,496,0.8343477239020675,0.16464734056778857,0.0010049355301440137,496,0.998995064469856,53,False,7.300798061254335,7,7.5,-0.3007980612543353,0.19920193874566472,14.684494796469503,14,14.5,-0.6844947964695027,-0.18449479646950273,24.79464587394412,24,24.5,-0.7946458739441198,-0.2946458739441198,29.18937339684866,29,29.5,-0.18937339684865861,0.3106266031513414,6.79464587394412
2019-02,baseline,Part_2,C_120,293344,248840,44355,149,0.8482873350059997,0.1512047289189484,0.0005079360750518163,149,0.9994920639249482,53,False,6.999876367682512,6,6.5,-0.9998763676825124,-0.4998763676825124,14.083293950850662,14,14.5,-0.0832939508506616,0.4167060491493384,23.599536516853945,23,23.5,-0.599536516853945,-0.09953651685394505,28.089236790606645,28,28.5,-0.08923679060664469,0.4107632093933553,5.599536516853945
2019-02,baseline,Part_2,C_130,423742,364896,58705,141,0.8611277617040558,0.13853948865111318,0.00033274964483105283,141,0.9996672503551689,53,False,6.88075429839157,6,6.5,-0.8807542983915697,-0.3807542983915697,13.827550876201244,13,13.5,-0.8275508762012436,-0.32755087620124357,22.140881294964032,22,22.5,-0.14088129496403212,0.3591187050359679,25.517372013651865,25,25.5,-0.5173720136518654,-0.01737201365186536,4.140881294964032
2019-02,baseline,Part_2,C_301,219774,195090,24654,30,0.8876846214747878,0.11217887466215294,0.0001365038630593246,30,0.9998634961369407,53,False,6.544400630914827,6,6.5,-0.5444006309148266,-0.0444006309148266,12.930935515388374,12,12.5,-0.9309355153883736,-0.4309355153883736,20.858740157480323,20,20.5,-0.8587401574803231,-0.35874015748032306,24.581786216596335,24,24.5,-0.5817862165963348,-0.08178621659633478,2.858740157480323
2019-02,baseline,Part_2,C_320,201406,180899,20420,87,0.8981807890529577,0.10138724764902733,0.0004319632980149549,87,0.999568036701985,53,False,6.773747696431563,6,6.5,-0.7737476964315633,-0.27374769643156327,12.822085492227979,12,12.5,-0.8220854922279788,-0.3220854922279788,19.75513174404016,19,19.5,-0.7551317440401597,-0.2551317440401597,23.146879643387802,23,23.5,-0.1468796433878019,0.3531203566121981,1.7551317440401597
2019-02,baseline,Part_2,C_400,126174,108429,17723,22,0.8593608825907081,0.14046475502084424,0.0001743623884476992,22,0.9998256376115523,53,False,7.590651135005974,7,7.5,-0.5906511350059738,-0.09065113500597377,14.094953051643193,14,14.5,-0.09495305164319312,0.4050469483568069,22.130327613104527,22,22.5,-0.13032761310452656,0.36967238689547344,25.604622322435162,25,25.5,-0.6046223224351621,-0.10462232243516212,4.130327613104527
2024-01,monthly,Part_2,C_999,7575914,4321271,2933249,321394,0.5703959944635063,0.3871808734893242,0.04242313204716949,376,0.9999503690247804,105,False,15.039572851097871,15,15.5,-0.03957285109787101,0.460427148902129,28.50585185659294,28,28.5,-0.5058518565929404,-0.005851856592940408,45.26838459148804,45,45.5,-0.2683845914880365,0.2316154085119635,50.38077235332322,50,50.5,-0.38077235332322346,0.11922764667677654,27.268384591488037
2024-01,monthly,Part_2,C_100,424169,233202,168216,22751,0.5497855807472964,0.39657777913991826,0.05363664011278523,10,0.9999764244911816,105,False,15.795307601880879,15,15.5,-0.7953076018808787,-0.2953076018808787,29.832365925441465,29,29.5,-0.832365925441465,-0.33236592544146504,47.34336421952959,47,47.5,-0.3433642195295903,0.1566357804704097,52.77476142641888,52,52.5,-0.7747614264188769,-0.2747614264188769,29.34336421952959
2024-01,monthly,Part_2,C_110,849406,462703,339801,46902,0.5447371457230111,0.4000454435217081,0.05521741075528075,63,0.9999258305215645,105,False,16.14960026808368,16,16.5,-0.149600268083681,0.350399731916319,29.83946262978521,29,29.5,-0.8394626297852099,-0.3394626297852099,47.45109687146627,47,47.5,-0.45109687146626953,0.04890312853373047,53.19496200394032,53,53.5,-0.1949620039403186,0.3050379960596814,29.45109687146627
