previous_period,period,provider,provider_name,before,after,difference,same_provider
2024-01,2024-02,A0C5S,SPAMEDICA GLOUCESTER,66,81,15,True
2024-01,2024-02,A4M8P,BUCKSHAW HOSPITAL,3778,3785,7,True
2024-01,2024-02,A4Q9X,NEWMEDICA LEICESTER,163,184,21,True
2024-01,2024-02,AAH,TETBURY HOSPITAL TRUST LTD,316,343,27,True
2024-01,2024-02,AAV,COMMUNITY HEALTH AND EYECARE LIMITED,2703,2842,139,True
2024-01,2024-02,ACG07,NEWMEDICA COMMUNITY OPHTHALMOLOGY - LEICESTERSHIRE - LEICESTER (STONEYGATE EYE HOSPITAL),54,0,-54,False
2024-01,2024-02,ACG08,NEWMEDICA OPHTHALMOLOGY - NUNEATON - CAMP HILL - GP LED HEALTH CENTRE,6,9,3,True
2024-01,2024-02,ACG12,NEWMEDICA COMMUNITY OPHTHALMOLOGY - NORTH EAST LINCOLNSHIRE - GRIMSBY,336,314,-22,True
2024-01,2024-02,ACG13,NEWMEDICA - GLOUCESTER (ASPEN MEDICAL CENTRE),232,193,-39,True
2024-01,2024-02,ACG19,NEWMEDICA COMMUNITY OPHTHALMOLOGY - LEEDS,559,546,-13,True
2024-01,2024-02,ACG20,NEWMEDICA - BRISTOL - LITFIELD HOUSE,363,294,-69,True
2024-01,2024-02,ACG22,NEWMEDICA - BRIGG - RIVERSIDE SURGERY,180,227,47,True
2024-01,2024-02,ACG24,NEWMEDICA - TEESSIDE - NORTH ORMESBY,527,484,-43,True
2024-01,2024-02,ACG26,NEWMEDICA - NORTH DERBYSHIRE - MIDLAND COURT,465,496,31,True
2024-01,2024-02,ACG30,NEWMEDICA - WORKSOP - DUKERIES,71,72,1,True
2024-01,2024-02,ACG31,NEWMEDICA - WORCESTER,711,870,159,True
2024-01,2024-02,ACG36,NEWMEDICA - EXETER - GLEN HOUSE,190,241,51,True
2024-01,2024-02,ACG37,NEWMEDICA - IPSWICH,2031,2067,36,True
2024-01,2024-02,ACG38,NEWMEDICA - LANGFORD,289,237,-52,True
2024-01,2024-02,ACG39,NEWMEDICA - SWINDON,345,278,-67,True
2024-01,2024-02,ACG40,NEWMEDICA - WAKEFIELD,671,671,0,True
2024-01,2024-02,ACM,EYE CARE MEDICAL LTD,3,8,5,True
2024-01,2024-02,ADN,PRIMARY INTEGRATED COMMUNITY SERVICES LTD,2920,1990,-930,True
2024-01,2024-02,ADP02,KIMS HOSPITAL (NEWNHAM COURT),1488,1561,73,True
2024-01,2024-02,AHP,ST MICHAEL'S CLINIC LIMITED,1646,1664,18,True
2024-01,2024-02,AJ8,THE GRANGE MEDICAL CENTRE HQ,147,191,44,True
2024-01,2024-02,AJX,SUSSEX MSK PARTNERSHIP 2,7378,7485,107,True
2024-01,2024-02,AQK,VERNOVA HEALTHCARE COMMUNITY INTEREST COMPANY,109,93,-16,True
2024-01,2024-02,AXG,WILTSHIRE HEALTH & CARE,2119,2220,101,True
2024-01,2024-02,AY1,MEDEFER,495,1637,1142,True
2024-01,2024-02,B1A5K,NEWMEDICA - NOTTINGHAM,472,507,35,True
2024-01,2024-02,B3M1X,CLAREMONT PRIVATE HOSPITAL,1932,1812,-120,True
2024-01,2024-02,B4N1U,SPAMEDICA ROMFORD,311,330,19,True
2024-01,2024-02,B5M7B,NEWMEDICA - NORWICH,514,528,14,True
2024-01,2024-02,B9J4U,SPAMEDICA PETERBOROUGH,126,107,-19,True
2024-01,2024-02,B9M3W,SPAMEDICA SOUTHAMPTON,302,315,13,True
2024-01,2024-02,C3Y0A,SPAMEDICA BLACKPOOL,48,45,-3,True
2024-01,2024-02,D3O0Z,PLYMOUTH NEWMEDICA LTD,186,177,-9,True
2024-01,2024-02,D5P5H,SPAMEDICA BEXHILL,166,220,54,True
2024-01,2024-02,DFQ,NORWICH & NORFOLK SURGICAL LTD (N2S),1049,1044,-5,True
2024-01,2024-02,DFY01,COTSWOLDS SURGICAL PARTNERS,223,221,-2,True
2024-01,2024-02,DLG,MAYFLOWER HEALTHCARE ALLIANCE,1096,0,-1096,False
2024-01,2024-02,DTT,PHOENIX PUBLIC HEALTH LTD,172,185,13,True
2024-01,2024-02,DX1,THE NEW FOSCOTE HOSPITAL LTD,245,249,4,True
2024-01,2024-02,DXV,OMNES HEALTHCARE LTD,7818,7990,172,True
2024-01,2024-02,E1U4T,SPAMEDICA CARLISLE,332,284,-48,True
2024-01,2024-02,E3D4A,SPAMEDICA TRURO,420,233,-187,True
2024-01,2024-02,F9Z4V,CIRCLE READING HOSPITAL,1490,1419,-71,True
2024-01,2024-02,G3O5P,SPAMEDICA NEWARK,244,195,-49,True
2024-01,2024-02,G3Q3Z,NUFFIELD HEALTH HIGHGATE HOSPITAL,697,694,-3,True
2024-01,2024-02,G3Z1Q,SULIS HOSPITAL BATH (FOXCOTE AVENUE),3726,3785,59,True
2024-01,2024-02,G5X2Q,SPAMEDICA NORTH TYNESIDE,42,41,-1,True
2024-01,2024-02,GEC01,RAPID INVESTIGATION SERVICE,115,108,-7,True
2024-01,2024-02,H4I8B,NUFFIELD HEALTH THE HOLLY HOSPITAL,3542,3541,-1,True
2024-01,2024-02,H4J9P,NEWMEDICA AZTEC WEST,679,515,-164,True
2024-01,2024-02,I2C7H,SPAMEDICA BRADFORD,105,94,-11,True
2024-01,2024-02,I9A4A,SPAMEDICA BRIGHTON,144,181,37,True
2024-01,2024-02,J2H6H,SPAMEDICA COLCHESTER,0,74,74,False
2024-01,2024-02,J3J8Z,NEWMEDICA - OXFORDSHIRE,450,437,-13,True
2024-01,2024-02,J7V1N,SPAMEDICA SOLIHULL,127,125,-2,True
2024-01,2024-02,K8I4X,GLENDON WOOD HOSPITAL,1437,1468,31,True
2024-01,2024-02,L0D9W,NEWMEDICA - GLOUCESTER (BRIGHOUSE COURT),828,782,-46,True
2024-01,2024-02,L4R3R,NEWMEDICA - HAMPSHIRE,211,254,43,True
2024-01,2024-02,L6O7H,SPAMEDICA POOLE,962,898,-64,True
2024-01,2024-02,L9D3Z,SPAMEDICA LEICESTER,84,116,32,True
2024-01,2024-02,M0N7E,SPAMEDICA SITTINGBOURNE,120,107,-13,True
2024-01,2024-02,M3R0W,SPAMEDICA NORWICH,112,156,44,True
2024-01,2024-02,M4C5R,NEWMEDICA - NORTHAMPTON,581,563,-18,True
2024-01,2024-02,M5E1S,SPAMEDICA EXETER,219,248,29,True
2024-01,2024-02,M7C9Q,SPAMEDICA EPSOM,160,170,10,True
2024-01,2024-02,N6Z0R,NEWMEDICA - LINCOLN,12,3,-9,True
2024-01,2024-02,NAM01,PROBUS SURGICAL CENTRE,813,917,104,True
2024-01,2024-02,NCN,DMC COMMUNITY OUTPATIENT SERVICES,1944,1896,-48,True
2024-01,2024-02,NCR,ISIGHT,953,906,-47,True
2024-01,2024-02,NDJ,FIRST COMMUNITY HEALTH AND CARE CIC,446,764,318,True
2024-01,2024-02,NDL01,SUFFOLK GP FEDERATION,71,77,6,True
2024-01,2024-02,NEQ,PHOENIX HEALTH SOLUTIONS LIMITED HQ,1372,1184,-188,True
2024-01,2024-02,NEY,PIONEER HEALTHCARE LIMITED,2808,2109,-699,True
2024-01,2024-02,NFH,SOMERSET SURGICAL SERVICES HQ,933,893,-40,True
2024-01,2024-02,NL3,CARE PLUS GROUP,163,167,4,True
2024-01,2024-02,NL8,LOCALA COMMUNITY PARTNERSHIPS CIC,2152,2139,-13,True
2024-01,2024-02,NLE01,LANCASTER HOUSE CONSULTING DIAGNOSTICS SURGICAL LTD HQ,709,578,-131,True
2024-01,2024-02,NLF06,OLDHAM INTEGRATED CARE CENTRE,2822,0,-2822,False
2024-01,2024-02,NLX,SIRONA CARE & HEALTH,3483,4111,628,True
2024-01,2024-02,NMG,CONNECT HEALTH LIMITED,18795,18812,17,True
2024-01,2024-02,NN4,TYNESIDE SURGICAL SERVICES LTD,895,881,-14,True
2024-01,2024-02,NN5,MANCHESTER SURGICAL SERVICES LTD,1725,1118,-607,True
2024-01,2024-02,NN8,SPENCER PRIVATE HOSPITALS LTD,3208,3221,13,True
2024-01,2024-02,NNE,DORKING HEALTHCARE LIMITED (DHC),5242,5218,-24,True
2024-01,2024-02,NNF,CITY HEALTH CARE PARTNERSHIP CIC,1910,0,-1910,False
2024-01,2024-02,NPG01,SPAMEDICA MANCHESTER,181,130,-51,True
2024-01,2024-02,NPG02,SPAMEDICA WIRRAL,94,83,-11,True
2024-01,2024-02,NPG06,SPAMEDICA LIVERPOOL,413,324,-89,True
2024-01,2024-02,NPG07,SPAMEDICA EYE HOSPITAL (WAKEFIELD),134,120,-14,True
2024-01,2024-02,NPG08,SPAMEDICA BOLTON,360,404,44,True
2024-01,2024-02,NPG10,SPAMEDICA SHEFFIELD,162,138,-24,True
2024-01,2024-02,NPG11,SPAMEDICA BIRMINGHAM,227,156,-71,True
2024-01,2024-02,NPG13,SPAMEDICA SKELMERSDALE,93,132,39,True
2024-01,2024-02,NPG14,SPAMEDICA WIDNES,125,101,-24,True
2024-01,2024-02,NPG15,SPAMEDICA NEWCASTLE-UNDER-LYME,94,109,15,True
2024-01,2024-02,NPG16,SPAMEDICA CHELMSFORD,1257,1094,-163,True
2024-01,2024-02,NPG17,SPAMEDICA PRESTON,168,167,-1,True
2024-01,2024-02,NPG18,SPAMEDICA HULL,121,110,-11,True
2024-01,2024-02,NPG19,SPAMEDICA BEDFORD,244,198,-46,True
2024-01,2024-02,NPG20,SPAMEDICA WOLVERHAMPTON,429,276,-153,True
2024-01,2024-02,NPG21,SPAMEDICA COVENTRY,166,176,10,True
2024-01,2024-02,NPG22,SPAMEDICA STOCKTON-ON-TEES,99,110,11,True
2024-01,2024-02,NPG23,SPAMEDICA DERBY,101,114,13,True
2024-01,2024-02,NQA,PROVIDE,2811,0,-2811,False
2024-01,2024-02,NQH,NOVUS HEALTH LTD,1092,1059,-33,True
2024-01,2024-02,NQM01,ORTHOPAEDICS & SPINE SPECIALIST HOSPITAL SITE,184,176,-8,True
2024-01,2024-02,NQT5K,ST MARTINS HOSPITAL,2217,879,-1338,True
2024-01,2024-02,NQTF7,VCL WILTSHIRE CHILDRENS SERVICES,1367,0,-1367,False
2024-01,2024-02,NQTH0,HCRG CARE EAST RIDING LLP,2115,2025,-90,True
2024-01,2024-02,NQV,BROMLEY HEALTHCARE,1359,0,-1359,False
2024-01,2024-02,NQX01,PROVIDE WELLBEING @ TOLLGATE CLINIC,83,91,8,True
2024-01,2024-02,NR3,NOTTINGHAM CITYCARE PARTNERSHIP,724,0,-724,False
2024-01,2024-02,NR5,LIVEWELL SOUTHWEST,60,85,25,True
2024-01,2024-02,NRP,BEACON MEDICAL SERVICES GROUP LIMITED,644,576,-68,True
2024-01,2024-02,NT202,"NUFFIELD HEALTH, BOURNEMOUTH HOSPITAL",489,389,-100,True
2024-01,2024-02,NT204,"NUFFIELD HEALTH, BRENTWOOD HOSPITAL",830,818,-12,True
2024-01,2024-02,NT205,"NUFFIELD HEALTH, BRIGHTON HOSPITAL",302,307,5,True
2024-01,2024-02,NT206,"NUFFIELD HEALTH, BRISTOL HOSPITAL (CHESTERFIELD)",620,566,-54,True
2024-01,2024-02,NT209,"NUFFIELD HEALTH, CAMBRIDGE HOSPITAL",519,529,10,True
2024-01,2024-02,NT210,"NUFFIELD HEALTH, THE GROSVENOR HOSPITAL, CHESTER",351,291,-60,True
2024-01,2024-02,NT211,"NUFFIELD HEALTH, CHELTENHAM HOSPITAL",80,93,13,True
2024-01,2024-02,NT212,"NUFFIELD HEALTH, CHICHESTER HOSPITAL",514,518,4,True
2024-01,2024-02,NT213,"NUFFIELD HEALTH, DERBY HOSPITAL",1174,1265,91,True
2024-01,2024-02,NT214,"NUFFIELD HEALTH, WESSEX HOSPITAL",545,543,-2,True
2024-01,2024-02,NT215,"NUFFIELD HEALTH, EXETER HOSPITAL",70,96,26,True
2024-01,2024-02,NT218,"NUFFIELD HEALTH, HAYWARDS HEATH HOSPITAL",86,89,3,True
2024-01,2024-02,NT219,"NUFFIELD HEALTH, HEREFORD HOSPITAL",256,242,-14,True
2024-01,2024-02,NT224,"NUFFIELD HEALTH, WARWICKSHIRE HOSPITAL",176,179,3,True
2024-01,2024-02,NT225,"NUFFIELD HEALTH, LEEDS HOSPITAL",1252,1309,57,True
2024-01,2024-02,NT226,"NUFFIELD HEALTH, LEICESTER HOSPITAL",252,235,-17,True
2024-01,2024-02,NT229,"NUFFIELD HEALTH, NEWCASTLE UPON TYNE HOSPITAL",270,326,56,True
2024-01,2024-02,NT230,"NUFFIELD HEALTH, NORTH STAFFORDSHIRE HOSPITAL",1695,1678,-17,True
2024-01,2024-02,NT233,"NUFFIELD HEALTH, PLYMOUTH HOSPITAL",1249,1220,-29,True
2024-01,2024-02,NT235,"NUFFIELD HEALTH, SHREWSBURY HOSPITAL",300,302,2,True
2024-01,2024-02,NT237,"NUFFIELD HEALTH, TEES HOSPITAL",1496,1490,-6,True
2024-01,2024-02,NT238,"NUFFIELD HEALTH, TAUNTON HOSPITAL",336,335,-1,True
2024-01,2024-02,NT239,"NUFFIELD HEALTH, TUNBRIDGE WELLS HOSPITAL",505,443,-62,True
2024-01,2024-02,NT241,"NUFFIELD HEALTH, WOKING HOSPITAL",296,399,103,True
2024-01,2024-02,NT242,"NUFFIELD HEALTH, WOLVERHAMPTON HOSPITAL",453,441,-12,True
2024-01,2024-02,NT245,"NUFFIELD HEALTH, YORK HOSPITAL",603,564,-39,True
2024-01,2024-02,NT301,SPIRE SOUTH BANK HOSPITAL,1370,1358,-12,True
2024-01,2024-02,NT302,SPIRE BRISTOL HOSPITAL,910,881,-29,True
2024-01,2024-02,NT304,SPIRE SOUTHAMPTON HOSPITAL,472,521,49,True
2024-01,2024-02,NT305,SPIRE PORTSMOUTH HOSPITAL,276,254,-22,True
2024-01,2024-02,NT308,SPIRE GATWICK PARK HOSPITAL,766,738,-28,True
2024-01,2024-02,NT30A,SPIRE NOTTINGHAM HOSPITAL,523,498,-25,True
2024-01,2024-02,NT310,SPIRE TUNBRIDGE WELLS HOSPITAL,384,336,-48,True
2024-01,2024-02,NT312,SPIRE ALEXANDRA HOSPITAL,1308,1145,-163,True
2024-01,2024-02,NT313,SPIRE WELLESLEY HOSPITAL,2169,2106,-63,True
2024-01,2024-02,NT314,SPIRE LONDON EAST,2364,2141,-223,True
2024-01,2024-02,NT315,SPIRE BUSHEY HOSPITAL,721,723,2,True
2024-01,2024-02,NT316,SPIRE HARPENDEN HOSPITAL,881,732,-149,True
2024-01,2024-02,NT317,SPIRE CAMBRIDGE LEA HOSPITAL,394,355,-39,True
2024-01,2024-02,NT318,SPIRE NORWICH HOSPITAL,153,166,13,True
2024-01,2024-02,NT319,SPIRE HARTSWOOD HOSPITAL,1660,1734,74,True
2024-01,2024-02,NT320,SPIRE PARKWAY HOSPITAL,1015,919,-96,True
2024-01,2024-02,NT321,SPIRE LITTLE ASTON HOSPITAL,1575,1546,-29,True
2024-01,2024-02,NT322,SPIRE LEICESTER HOSPITAL,648,741,93,True
2024-01,2024-02,NT324,SPIRE CHESHIRE HOSPITAL,1190,1163,-27,True
2024-01,2024-02,NT325,SPIRE MURRAYFIELD HOSPITAL,559,529,-30,True
2024-01,2024-02,NT327,SPIRE MANCHESTER HOSPITAL,862,635,-227,True
2024-01,2024-02,NT332,SPIRE LEEDS HOSPITAL,1065,1085,20,True
2024-01,2024-02,NT333,SPIRE WASHINGTON HOSPITAL,1446,1336,-110,True
2024-01,2024-02,NT337,SPIRE LIVERPOOL HOSPITAL,2915,2814,-101,True
2024-01,2024-02,NT339,SPIRE REGENCY HOSPITAL,1495,1476,-19,True
2024-01,2024-02,NT343,SPIRE THAMES VALLEY HOSPITAL,224,277,53,True
2024-01,2024-02,NT344,SPIRE DUNEDIN HOSPITAL,391,373,-18,True
2024-01,2024-02,NT345,SPIRE CLARE PARK HOSPITAL,479,384,-95,True
2024-01,2024-02,NT347,SPIRE FYLDE COAST HOSPITAL,2698,3186,488,True
2024-01,2024-02,NT348,SPIRE ELLAND HOSPITAL,880,942,62,True
2024-01,2024-02,NT350,SPIRE METHLEY PARK HOSPITAL,981,935,-46,True
2024-01,2024-02,NT351,SPIRE HULL AND EAST RIDING HOSPITAL,2803,3024,221,True
2024-01,2024-02,NT364,SPIRE MONTEFIORE HOSPITAL,776,689,-87,True
2024-01,2024-02,NT3X3,SPIRE ST ANTHONY'S HOSPITAL,548,596,48,True
2024-01,2024-02,NT401,ALEXANDRA HOSPITAL,660,580,-80,True
2024-01,2024-02,NT402,BATH CLINIC,580,534,-46,True
2024-01,2024-02,NT403,BEARDWOOD HOSPITAL,2226,2151,-75,True
2024-01,2024-02,NT404,BEAUMONT HOSPITAL,3642,3773,131,True
2024-01,2024-02,NT405,BISHOPS WOOD HOSPITAL,445,428,-17,True
2024-01,2024-02,NT406,BLACKHEATH HOSPITAL,1434,1318,-116,True
2024-01,2024-02,NT408,CHAUCER HOSPITAL,1072,982,-90,True
2024-01,2024-02,NT409,CHELSFIELD PARK HOSPITAL,631,621,-10,True
2024-01,2024-02,NT410,CHILTERN HOSPITAL,515,505,-10,True
2024-01,2024-02,NT411,CLEMENTINE CHURCHILL HOSPITAL,1759,1814,55,True
2024-01,2024-02,NT412,DROITWICH SPA HOSPITAL,1415,1290,-125,True
2024-01,2024-02,NT416,HENDON HOSPITAL,730,796,66,True
2024-01,2024-02,NT417,GORING HALL HOSPITAL,1031,1012,-19,True
2024-01,2024-02,NT418,HAMPSHIRE CLINIC,195,244,49,True
2024-01,2024-02,NT419,HARBOUR HOSPITAL,111,102,-9,True
2024-01,2024-02,NT420,HIGHFIELD HOSPITAL,1977,1831,-146,True
2024-01,2024-02,NT421,KINGS OAK HOSPITAL,1019,1207,188,True
2024-01,2024-02,NT422,LONDON INDEPENDENT HOSPITAL,5419,5129,-290,True
2024-01,2024-02,NT423,MANOR HOSPITAL,671,657,-14,True
2024-01,2024-02,NT424,MERIDEN HOSPITAL,1287,1332,45,True
2024-01,2024-02,NT427,PARK HOSPITAL,848,800,-48,True
2024-01,2024-02,NT428,PRINCESS MARGARET HOSPITAL,88,89,1,True
2024-01,2024-02,NT429,PRIORY HOSPITAL,1529,1537,8,True
2024-01,2024-02,NT430,RIDGEWAY HOSPITAL,980,927,-53,True
2024-01,2024-02,NT431,RUNNYMEDE HOSPITAL,159,177,18,True
2024-01,2024-02,NT433,SARUM ROAD HOSPITAL,388,383,-5,True
2024-01,2024-02,NT434,SAXON CLINIC,768,779,11,True
2024-01,2024-02,NT435,SHELBURNE HOSPITAL,89,100,11,True
2024-01,2024-02,NT436,SHIRLEY OAKS HOSPITAL,1181,1216,35,True
2024-01,2024-02,NT437,SLOANE HOSPITAL,705,811,106,True
2024-01,2024-02,NT440,THORNBURY HOSPITAL,426,406,-20,True
2024-01,2024-02,NT441,THREE SHIRES HOSPITAL,2508,2497,-11,True
2024-01,2024-02,NT443,WINTERBOURNE HOSPITAL,398,356,-42,True
2024-01,2024-02,NT445,EDGBASTON HOSPITAL,0,3,3,False
2024-01,2024-02,NT446,ST EDMUNDS HOSPITAL,495,646,151,True
2024-01,2024-02,NT447,DUCHY HOSPITAL,434,455,21,True
2024-01,2024-02,NT448,HUDDERSFIELD HOSPITAL,888,880,-8,True
2024-01,2024-02,NT449,LANCASTER HOSPITAL,243,232,-11,True
2024-01,2024-02,NT450,LINCOLN HOSPITAL,1447,1541,94,True
2024-01,2024-02,NT451,CAVELL HOSPITAL,1036,1240,204,True
2024-01,2024-02,NT455,MOUNT ALVERNIA HOSPITAL,176,181,5,True
2024-01,2024-02,NT457,WOODLANDS HOSPITAL,1844,1925,81,True
2024-01,2024-02,NT490,SOUTHEND PRIVATE HOSPITAL,1125,1142,17,True
2024-01,2024-02,NTE02,ST HUGH'S HOSPITAL,1761,1697,-64,True
2024-01,2024-02,NTP11,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,9484,9592,108,True
2024-01,2024-02,NTP13,PRACTICE PLUS GROUP HOSPITAL - BARLBOROUGH,1450,1486,36,True
2024-01,2024-02,NTP15,PRACTICE PLUS GROUP HOSPITAL - ILFORD,6366,6142,-224,True
2024-01,2024-02,NTP16,PRACTICE PLUS GROUP SURGICAL CENTRE - GILLINGHAM,1190,1533,343,True
2024-01,2024-02,NTPAD,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,2222,2131,-91,True
2024-01,2024-02,NTPAE,PRACTICE PLUS GROUP OPHTHALMOLOGY - NORTH WEST,650,778,128,True
2024-01,2024-02,NTPH1,PRACTICE PLUS GROUP HOSPITAL - SHEPTON MALLET,3119,3052,-67,True
2024-01,2024-02,NTPH2,PRACTICE PLUS GROUP HOSPITAL - EMERSONS GREEN,4693,4668,-25,True
2024-01,2024-02,NTPH3,PRACTICE PLUS GROUP SURGICAL CENTRE - DEVIZES,1903,2024,121,True
2024-01,2024-02,NTPH5,PRACTICE PLUS GROUP HOSPITAL - PLYMOUTH,2504,2574,70,True
2024-01,2024-02,NTX,THE ONE HEALTH GROUP PLC,2908,3104,196,True
2024-01,2024-02,NV1,INHEALTH LIMITED,1964,2044,80,True
2024-01,2024-02,NVC01,ASHTEAD HOSPITAL,980,879,-101,True
2024-01,2024-02,NVC02,THE BERKSHIRE INDEPENDENT HOSPITAL,1079,1058,-21,True
2024-01,2024-02,NVC04,DUCHY HOSPITAL,1511,1491,-20,True
2024-01,2024-02,NVC05,EUXTON HALL HOSPITAL,2588,2353,-235,True
2024-01,2024-02,NVC06,FITZWILLIAM HOSPITAL,6487,6515,28,True
2024-01,2024-02,NVC07,FULWOOD HALL HOSPITAL,6129,6144,15,True
2024-01,2024-02,NVC08,MOUNT STUART HOSPITAL,2019,2010,-9,True
2024-01,2024-02,NVC09,NEW HALL HOSPITAL,3741,3743,2,True
2024-01,2024-02,NVC0I,BEACON PARK HOSPITAL,1510,1424,-86,True
2024-01,2024-02,NVC0M,WEST VALLEY HOSPITAL,1,0,-1,False
2024-01,2024-02,NVC0R,TEES VALLEY HOSPITAL,3206,3158,-48,True
2024-01,2024-02,NVC0Y,EXETER MEDICAL,344,360,16,True
2024-01,2024-02,NVC11,NORTH DOWNS HOSPITAL,2054,2026,-28,True
2024-01,2024-02,NVC12,OAKLANDS HOSPITAL,8201,7921,-280,True
2024-01,2024-02,NVC13,OAKS HOSPITAL,919,919,0,True
2024-01,2024-02,NVC14,PARK HILL HOSPITAL,1099,1107,8,True
2024-01,2024-02,NVC15,PINEHILL HOSPITAL,1493,1338,-155,True
2024-01,2024-02,NVC16,RENACRES HOSPITAL,3309,3333,24,True
2024-01,2024-02,NVC17,ROWLEY HALL HOSPITAL,3019,2939,-80,True
2024-01,2024-02,NVC18,SPRINGFIELD HOSPITAL,4938,5002,64,True
2024-01,2024-02,NVC19,RIVERS HOSPITAL,4058,4035,-23,True
2024-01,2024-02,NVC1H,STOURSIDE HOSPITAL,3233,3258,25,True
2024-01,2024-02,NVC20,THE YORKSHIRE CLINIC,7656,7551,-105,True
2024-01,2024-02,NVC21,WEST MIDLANDS HOSPITAL,955,930,-25,True
2024-01,2024-02,NVC22,WINFIELD HOSPITAL,908,905,-3,True
2024-01,2024-02,NVC23,WOODLAND HOSPITAL,5115,5062,-53,True
2024-01,2024-02,NVC25,THE CHERWELL HOSPITAL,1565,1511,-54,True
2024-01,2024-02,NVC27,BOSTON WEST HOSPITAL,2181,2054,-127,True
2024-01,2024-02,NVC28,CLIFTON PARK HOSPITAL,1562,1583,21,True
2024-01,2024-02,NVC29,COBALT HOSPITAL,1519,1582,63,True
2024-01,2024-02,NVC31,BLAKELANDS HOSPITAL,1662,1725,63,True
2024-01,2024-02,NVC40,WOODTHORPE HOSPITAL,5459,5332,-127,True
2024-01,2024-02,NVC44,THE WESTBOURNE CENTRE,1922,2094,172,True
2024-01,2024-02,NVG01,FAIRFIELD HOSPITAL,2357,2406,49,True
2024-01,2024-02,NVM,EPSOMEDICAL GROUP,2820,2845,25,True
2024-01,2024-02,NWF01,BENENDEN HOSPITAL,1257,1248,-9,True
2024-01,2024-02,NWV01,GP CARE UK,423,370,-53,True
2024-01,2024-02,NWX,HERE,15380,14945,-435,True
2024-01,2024-02,NXM01,THE HORDER CENTRE - ST JOHNS ROAD,243,296,53,True
2024-01,2024-02,NXP,INDEPENDENT HEALTH GROUP,990,985,-5,True
2024-01,2024-02,NYG,SUSSEX COMMUNITY DERMATOLOGY SERVICE,12097,11190,-907,True
2024-01,2024-02,NYR,HEALTHSHARE DIAGNOSTICS,0,285,285,False
2024-01,2024-02,NYW17,ASPEN HEALTHCARE - MIDLAND EYE,437,551,114,True
2024-01,2024-02,O1P6X,SPAMEDICA OLDHAM,148,119,-29,True
2024-01,2024-02,O5Y9D,SPAMEDICA OXFORD,166,142,-24,True
2024-01,2024-02,P0C3F,SPAMEDICA LEEDS,74,105,31,True
2024-01,2024-02,P1B7M,SPAMEDICA BRISTOL,95,92,-3,True
2024-01,2024-02,P5Y6K,NEWMEDICA - SHREWSBURY,150,120,-30,True
2024-01,2024-02,Q1S8W,NEWMEDICA - BURY ST EDMUNDS,191,168,-23,True
2024-01,2024-02,Q1W6P,SPAMEDICA WATFORD,226,289,63,True
2024-01,2024-02,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,184578,186869,2291,True
2024-01,2024-02,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,60888,62406,1518,True
2024-01,2024-02,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,67958,66889,-1069,True
2024-01,2024-02,R0F4N,NUFFIELD HEALTH PARKSIDE HOSPITAL,688,743,55,True
2024-01,2024-02,R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,33,46,13,True
2024-01,2024-02,R1C,SOLENT NHS TRUST,1437,233,-1204,True
2024-01,2024-02,R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,15377,13844,-1533,True
2024-01,2024-02,R1F,ISLE OF WIGHT NHS TRUST,15676,15519,-157,True
2024-01,2024-02,R1G7E,SPAMEDICA KENDAL,248,131,-117,True
2024-01,2024-02,R1H,BARTS HEALTH NHS TRUST,118924,119646,722,True
2024-01,2024-02,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,97122,99958,2836,True
2024-01,2024-02,R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,1340,1334,-6,True
2024-01,2024-02,R7W2O,NEWCASTLE NEWMEDICA LTD,183,216,33,True
2024-01,2024-02,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,43067,42541,-526,True
2024-01,2024-02,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,60449,60133,-316,True
2024-01,2024-02,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,33444,33690,246,True
2024-01,2024-02,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,34260,34440,180,True
2024-01,2024-02,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,160364,163659,3295,True
2024-01,2024-02,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,99158,102461,3303,True
2024-01,2024-02,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,8321,8346,25,True
2024-01,2024-02,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,22236,23311,1075,True
2024-01,2024-02,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,30720,32279,1559,True
2024-01,2024-02,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,2477,0,-2477,False
2024-01,2024-02,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,39608,39693,85,True
