period,part,scope,percentile,official_value,workbook_url,sheet,cell,total_pathways,total_cell,published,revised
2026-03,Part_2,England; NONC excluded; C_999 Total,0.5,11.3291372209374,https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2026/07/Incomplete-Commissioner-Mar26-XLSX-4M-revised.xlsx,National,DH38,7014835,DE38,14th May 2026,9th July 2026
2026-03,Part_2,England; NONC excluded; C_999 Total,0.92,38.339913811525,https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2026/07/Incomplete-Commissioner-Mar26-XLSX-4M-revised.xlsx,National,DI38,7014835,DE38,14th May 2026,9th July 2026
2025-11,Part_2,England; NONC excluded; C_999 Total,0.5,12.8972515877183,https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2026/01/Incomplete-Commissioner-Nov25-XLSX-4M-1Xmjkk.xlsx,National,DH38,7159010,DE38,15th January 2026,N/A
2025-11,Part_2,England; NONC excluded; C_999 Total,0.92,40.3595505187794,https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2026/01/Incomplete-Commissioner-Nov25-XLSX-4M-1Xmjkk.xlsx,National,DI38,7159010,DE38,15th January 2026,N/A
