period,part,kind,code,name,release,percentile,linear,lower_bound,midpoint,upper_bound,lower_minus_linear,midpoint_minus_linear
2024-01,Part_2,monthly,C_130,Ophthalmology,revised-or-established,50,12.6132581258,12,12.5,13,-0.613258125768,-0.113258125768
2024-01,Part_2,monthly,C_130,Ophthalmology,revised-or-established,75,24.5495407888,24,24.5,25,-0.549540788763,-0.0495407887628
2024-01,Part_2,monthly,C_130,Ophthalmology,revised-or-established,92,40.2708121711,40,40.5,41,-0.270812171128,0.229187828872
2024-01,Part_2,monthly,C_130,Ophthalmology,revised-or-established,95,45.5269279393,45,45.5,46,-0.526927939317,-0.0269279393173
2024-01,Part_2,monthly,C_301,Gastroenterology,revised-or-established,50,14.1336463224,14,14.5,15,-0.133646322379,0.366353677621
2024-01,Part_2,monthly,C_301,Gastroenterology,revised-or-established,75,27.2497226331,27,27.5,28,-0.249722633136,0.250277366864
2024-01,Part_2,monthly,C_301,Gastroenterology,revised-or-established,92,44.2008196063,44,44.5,45,-0.200819606268,0.299180393732
2024-01,Part_2,monthly,C_301,Gastroenterology,revised-or-established,95,49.2507786429,49,49.5,50,-0.250778642937,0.249221357063
2024-01,Part_2,monthly,C_320,Cardiology,revised-or-established,50,14.1139014296,14,14.5,15,-0.113901429646,0.386098570354
2024-01,Part_2,monthly,C_320,Cardiology,revised-or-established,75,26.2023458133,26,26.5,27,-0.202345813267,0.297654186733
2024-01,Part_2,monthly,C_320,Cardiology,revised-or-established,92,41.1285255266,41,41.5,42,-0.128525526598,0.371474473402
2024-01,Part_2,monthly,C_320,Cardiology,revised-or-established,95,46.188727783,46,46.5,47,-0.188727782975,0.311272217025
2024-01,Part_2,monthly,C_400,Neurology,revised-or-established,50,16.4827223294,16,16.5,17,-0.482722329416,0.0172776705841
2024-01,Part_2,monthly,C_400,Neurology,revised-or-established,75,29.2744168162,29,29.5,30,-0.274416816201,0.225583183799
2024-01,Part_2,monthly,C_400,Neurology,revised-or-established,92,44.0317814208,44,44.5,45,-0.031781420765,0.468218579235
2024-01,Part_2,monthly,C_400,Neurology,revised-or-established,95,48.5173657101,48,48.5,49,-0.517365710081,-0.0173657100809
2024-02,Part_2,monthly,C_999,"England, all specialties",revised-or-established,50,14.7854880885,14,14.5,15,-0.785488088546,-0.285488088546
2024-02,Part_2,monthly,C_999,"England, all specialties",revised-or-established,75,28.1973636615,28,28.5,29,-0.19736366146,0.30263633854
2024-02,Part_2,monthly,C_999,"England, all specialties",revised-or-established,92,44.6293613659,44,44.5,45,-0.62936136585,-0.12936136585
2024-02,Part_2,monthly,C_999,"England, all specialties",revised-or-established,95,50.0046272809,50,50.5,51,-0.00462728090989,0.49537271909
2024-02,Part_2,monthly,C_100,General surgery,revised-or-established,50,15.5613038278,15,15.5,16,-0.561303827751,-0.0613038277512
2024-02,Part_2,monthly,C_100,General surgery,revised-or-established,75,29.7243513651,29,29.5,30,-0.724351365101,-0.224351365101
2024-02,Part_2,monthly,C_100,General surgery,revised-or-established,92,47.0085527273,47,47.5,48,-0.00855272727274,0.491447272727
2024-02,Part_2,monthly,C_100,General surgery,revised-or-established,95,52.3013106796,52,52.5,53,-0.301310679612,0.198689320388
2024-02,Part_2,monthly,C_110,Trauma and orthopaedics,revised-or-established,50,16.1578947368,16,16.5,17,-0.157894736842,0.342105263158
2024-02,Part_2,monthly,C_110,Trauma and orthopaedics,revised-or-established,75,29.945572264,29,29.5,30,-0.945572263993,-0.445572263993
2024-02,Part_2,monthly,C_110,Trauma and orthopaedics,revised-or-established,92,47.1855942468,47,47.5,48,-0.185594246783,0.314405753217
2024-02,Part_2,monthly,C_110,Trauma and orthopaedics,revised-or-established,95,52.664344473,52,52.5,53,-0.664344473008,-0.164344473008
2024-02,Part_2,monthly,C_120,ENT,revised-or-established,50,18.4095207565,18,18.5,19,-0.409520756531,0.0904792434685
2024-02,Part_2,monthly,C_120,ENT,revised-or-established,75,33.5901839776,33,33.5,34,-0.590183977643,-0.0901839776432
2024-02,Part_2,monthly,C_120,ENT,revised-or-established,92,49.6064617809,49,49.5,50,-0.60646178093,-0.10646178093
2024-02,Part_2,monthly,C_120,ENT,revised-or-established,95,54.0118263473,54,54.5,55,-0.0118263473054,0.488173652695
2024-02,Part_2,monthly,C_130,Ophthalmology,revised-or-established,50,12.3511010862,12,12.5,13,-0.351101086247,0.148898913753
2024-02,Part_2,monthly,C_130,Ophthalmology,revised-or-established,75,24.0128107697,24,24.5,25,-0.0128107697318,0.487189230268
2024-02,Part_2,monthly,C_130,Ophthalmology,revised-or-established,92,40.2793176783,40,40.5,41,-0.279317678334,0.220682321666
2024-02,Part_2,monthly,C_130,Ophthalmology,revised-or-established,95,45.2517219388,45,45.5,46,-0.251721938776,0.248278061224
2024-02,Part_2,monthly,C_301,Gastroenterology,revised-or-established,50,13.9589605907,13,13.5,14,-0.958960590661,-0.458960590661
2024-02,Part_2,monthly,C_301,Gastroenterology,revised-or-established,75,26.8080797022,26,26.5,27,-0.808079702212,-0.308079702212
2024-02,Part_2,monthly,C_301,Gastroenterology,revised-or-established,92,43.3210202287,43,43.5,44,-0.321020228672,0.178979771328
2024-02,Part_2,monthly,C_301,Gastroenterology,revised-or-established,95,48.8900851277,48,48.5,49,-0.890085127692,-0.390085127692
