code,name,start_period,end_period,total_start,total_end,total_change,within18_count_start,within18_count_end,within18_count_change,middle_count_start,middle_count_end,middle_count_change,over52_count_start,over52_count_end,over52_count_change,within18_share_start,within18_share_end,within18_share_change,middle_share_start,middle_share_end,middle_share_change,over52_share_start,over52_share_end,over52_share_change,p50_start,p50_end,p50_change,p75_start,p75_end,p75_change,p92_start,p92_end,p92_change,p95_start,p95_end,p95_change,gap_weeks_start,gap_weeks_end,gap_weeks_change
C_100,General surgery,2024-01,2026-05,424169,381497,-42672,233202,239233,6031,168216,135174,-33042,22751,7090,-15661,0.549785580747,0.627090121285,0.0773045405381,0.39657777914,0.354325197839,-0.0422525813009,0.0536366401128,0.0185846808756,-0.0350519592372,15.7953076019,13.260616042,-2.53469155986,29.8323659254,25.6948445459,-4.13752137951,47.3433642195,40.8737657046,-6.46959851495,52.7747614264,45.2998877917,-7.47487363468,29.3433642195,22.8737657046,-6.46959851495
C_110,Trauma and orthopaedics,2024-01,2026-05,849406,827960,-21446,462703,497410,34707,339801,312261,-27540,46902,18289,-28613,0.544737145723,0.600765737475,0.0560285917522,0.400045443522,0.377145031161,-0.0229004123608,0.0552174107553,0.0220892313638,-0.0331281793914,16.1496002681,14.1108450704,-2.03875519766,29.8394626298,26.8269870051,-3.01247562465,47.4510968715,41.8352372035,-5.61585966797,53.1949620039,46.2482182855,-6.94674371846,29.4510968715,23.8352372035,-5.61585966797
C_120,ENT,2024-01,2026-05,621169,594331,-26838,300003,350147,50144,282392,231502,-50890,38774,12682,-26092,0.482965183388,0.589144769497,0.106179586109,0.454613800753,0.389516952675,-0.0650968480786,0.0624210158588,0.0213382778283,-0.0410827380305,18.8328610783,14.7580394036,-4.07482167476,33.8180106101,27.1176300578,-6.70038055228,49.5039317735,41.626389012,-7.87754276149,54.1273131127,46.119579288,-8.00773382472,31.5039317735,23.626389012,-7.87754276149
C_130,Ophthalmology,2024-01,2026-05,605516,624531,19015,384595,462702,78107,206402,157081,-49321,14519,4748,-9771,0.635152498035,0.740879155718,0.105726657684,0.340869605427,0.251518339362,-0.0893512660656,0.0239778965378,0.00760250491969,-0.0163753916181,12.6132581258,10.2063224761,-2.40693564964,24.5495407888,18.4396950984,-6.10984569035,40.2708121711,33.4115369857,-6.85927518541,45.5269279393,38.1842937676,-7.3426341717,22.2708121711,15.4115369857,-6.85927518541
C_301,Gastroenterology,2024-01,2026-05,384402,370047,-14355,227656,255472,27816,142204,111247,-30957,14542,3328,-11214,0.592234171518,0.690377168306,0.0981429967873,0.369935640293,0.300629379511,-0.069306260782,0.0378301881884,0.0089934521831,-0.0288367360053,14.1336463224,11.7718113292,-2.36183499318,27.2497226331,20.9608912321,-6.28883140101,44.2008196063,36.1127627302,-8.08805687604,49.2507786429,40.7705414013,-8.48023724166,26.2008196063,18.1127627302,-8.08805687604
C_320,Cardiology,2024-01,2026-05,398450,378421,-20029,238590,258469,19879,149861,117103,-32758,9999,2849,-7150,0.598795331911,0.683019705566,0.0842243736549,0.376109925963,0.309451642483,-0.0666582834803,0.0250947421257,0.00752865195113,-0.0175660901746,14.1139014296,12.1298895957,-1.98401183397,26.2023458133,21.2403892073,-4.96195660601,41.1285255266,35.5178858075,-5.61063971909,46.188727783,40.1270585436,-6.06166923942,23.1285255266,17.5178858075,-5.61063971909
C_400,Neurology,2024-01,2026-05,234198,207581,-26617,125348,127025,1677,101133,78654,-22479,7717,1902,-5815,0.535222333239,0.611929800897,0.0767074676576,0.431826915687,0.378907510803,-0.0529194048837,0.0329507510739,0.00916268829999,-0.0237880627739,16.4827223294,14.0042365554,-2.47848577399,29.2744168162,25.7301219189,-3.5442948973,44.0317814208,38.9454504757,-5.08633094511,48.5173657101,43.1365729899,-5.38079272023,26.0317814208,20.9454504757,-5.08633094511
C_999,"England, all specialties",2024-01,2026-05,7575914,7153655,-422259,4321271,4689601,368330,2933249,2361713,-571536,321394,102341,-219053,0.570395994464,0.655553140318,0.0851571458543,0.387180873489,0.330140746234,-0.0570401272554,0.0424231320472,0.0143061134483,-0.0281170185989,15.0395728511,12.4228168014,-2.6167560497,28.5058518566,23.9010734215,-4.60477843508,45.2683845915,38.5686655224,-6.69971906907,50.3807723533,43.4277730493,-6.95299930403,27.2683845915,20.5686655224,-6.69971906907
