date,period_raw,specialty_code,total_waiting,waiting_0_18w,waiting_18_52w,waiting_52w_plus,pct_within_18w,pct_over_52w,specialty_name
2024-02-01,RTT-February-2024,C_410,124452.0,79515.0,42926.0,2011.0,63.89,1.62,
2024-02-01,RTT-February-2024,C_400,233760.0,125156.0,101105.0,7499.0,53.54,3.21,Neurology
2024-02-01,RTT-February-2024,C_340,225076.0,139633.0,79004.0,6439.0,62.04,2.86,
2024-02-01,RTT-February-2024,X03,12214.0,8278.0,3001.0,935.0,67.77,7.66,
2024-02-01,RTT-February-2024,C_320,399094.0,239037.0,150172.0,9885.0,59.89,2.48,Cardiology
2024-02-01,RTT-February-2024,C_300,36982.0,24454.0,11858.0,670.0,66.12,1.81,
2024-02-01,RTT-February-2024,C_170,9454.0,6059.0,3068.0,327.0,64.09,3.46,
2024-02-01,RTT-February-2024,C_160,107403.0,54953.0,45218.0,7232.0,51.17,6.73,
2024-02-01,RTT-February-2024,C_150,60423.0,33042.0,23998.0,3383.0,54.68,5.6,
2024-02-01,RTT-February-2024,C_140,325201.0,162961.0,142161.0,20079.0,50.11,6.17,
2024-02-01,RTT-February-2024,C_130,607752.0,389735.0,203481.0,14536.0,64.13,2.39,Ophthalmology
2024-02-01,RTT-February-2024,C_120,627870.0,308825.0,279855.0,39190.0,49.19,6.24,ENT
2024-02-01,RTT-February-2024,C_110,842354.0,457149.0,340503.0,44702.0,54.27,5.31,Trauma & Orthopaedics
2024-02-01,RTT-February-2024,C_101,417869.0,239825.0,158483.0,19561.0,57.39,4.68,
2024-02-01,RTT-February-2024,C_100,421906.0,233699.0,166491.0,21716.0,55.39,5.15,General Surgery
2024-02-01,RTT-February-2024,C_301,390450.0,233718.0,142865.0,13867.0,59.86,3.55,Gastroenterology
2024-03-01,RTT-March-2024,C_400,231781.0,122187.0,102403.0,7191.0,52.72,3.1,Neurology
2024-03-01,RTT-March-2024,C_410,122749.0,78756.0,41932.0,2061.0,64.16,1.68,
2024-03-01,RTT-March-2024,C_430,24422.0,18512.0,5770.0,140.0,75.8,0.57,
2024-03-01,RTT-March-2024,C_502,591351.0,311929.0,248684.0,30738.0,52.75,5.2,
2024-03-01,RTT-March-2024,C_340,225989.0,141010.0,78484.0,6495.0,62.4,2.87,
2024-03-01,RTT-March-2024,X03,4548.0,3380.0,1127.0,41.0,74.32,0.9,
2024-03-01,RTT-March-2024,X04,364323.0,215391.0,134607.0,14325.0,59.12,3.93,
2024-03-01,RTT-March-2024,X05,488941.0,280924.0,187030.0,20987.0,57.46,4.29,
2024-03-01,RTT-March-2024,X06,177922.0,124725.0,49681.0,3516.0,70.1,1.98,
2024-03-01,RTT-March-2024,C_999,7538830.0,4312728.0,2916803.0,309299.0,57.21,4.1,
2024-03-01,RTT-March-2024,C_330,406523.0,235590.0,159729.0,11204.0,57.95,2.76,
2024-03-01,RTT-March-2024,X02,639202.0,405448.0,220238.0,13516.0,63.43,2.11,
2024-03-01,RTT-March-2024,C_301,390454.0,231005.0,145345.0,14104.0,59.16,3.61,Gastroenterology
2024-03-01,RTT-March-2024,C_100,421329.0,233438.0,166896.0,20995.0,55.41,4.98,General Surgery
2024-03-01,RTT-March-2024,C_101,418750.0,238554.0,160781.0,19415.0,56.97,4.64,
2024-03-01,RTT-March-2024,C_110,835449.0,448436.0,343897.0,43116.0,53.68,5.16,Trauma & Orthopaedics
2024-03-01,RTT-March-2024,C_120,639365.0,313073.0,283224.0,43068.0,48.97,6.74,ENT
2024-03-01,RTT-March-2024,C_130,611342.0,391359.0,204546.0,15437.0,64.02,2.53,Ophthalmology
2024-03-01,RTT-March-2024,C_320,405304.0,240196.0,154556.0,10552.0,59.26,2.6,Cardiology
2024-03-01,RTT-March-2024,C_150,59945.0,33157.0,23849.0,2939.0,55.31,4.9,
2024-03-01,RTT-March-2024,C_160,105730.0,53307.0,45316.0,7107.0,50.42,6.72,
2024-03-01,RTT-March-2024,C_170,9292.0,5997.0,2954.0,341.0,64.54,3.67,
2024-03-01,RTT-March-2024,C_300,36541.0,24443.0,11272.0,826.0,66.89,2.26,
2024-03-01,RTT-March-2024,C_140,327578.0,161911.0,144482.0,21185.0,49.43,6.47,
2024-04-01,RTT-April-2024,C_410,123106.0,80591.0,40563.0,1952.0,65.46,1.59,
2024-04-01,RTT-April-2024,C_400,234119.0,124840.0,102034.0,7245.0,53.32,3.09,Neurology
2024-04-01,RTT-April-2024,C_430,24017.0,18672.0,5198.0,147.0,77.74,0.61,
2024-04-01,RTT-April-2024,C_502,594596.0,319772.0,245164.0,29660.0,53.78,4.99,
2024-04-01,RTT-April-2024,C_999,7570371.0,4408948.0,2858834.0,302589.0,58.24,4.0,
2024-04-01,RTT-April-2024,X03,4203.0,3072.0,1108.0,23.0,73.09,0.55,
2024-04-01,RTT-April-2024,C_340,226651.0,144067.0,76268.0,6316.0,63.56,2.79,
2024-04-01,RTT-April-2024,X04,365215.0,219898.0,131643.0,13674.0,60.21,3.74,
2024-04-01,RTT-April-2024,X05,492790.0,288267.0,183972.0,20551.0,58.5,4.17,
2024-04-01,RTT-April-2024,X06,172816.0,122117.0,47169.0,3530.0,70.66,2.04,
2024-04-01,RTT-April-2024,X02,641086.0,410999.0,216450.0,13637.0,64.11,2.13,
2024-04-01,RTT-April-2024,C_330,408453.0,245178.0,152419.0,10856.0,60.03,2.66,
2024-04-01,RTT-April-2024,C_320,410149.0,246974.0,152969.0,10206.0,60.22,2.49,Cardiology
2024-04-01,RTT-April-2024,C_301,392168.0,237712.0,141300.0,13156.0,60.61,3.35,Gastroenterology
