period_raw,specialty_code,specialty_name,total_waiting,waiting_0_18w,waiting_18_52w,waiting_52w_plus,date,pct_within_18w,pct_over_52w
RTT-February-2024,X02,Other - Medical Services,634165.0,406062.0,215220.0,12883.0,2024-02-01,64.03,2.03
RTT-February-2024,C_140,Oral Surgery Service,325201.0,162961.0,142161.0,20079.0,2024-02-01,50.11,6.17
RTT-February-2024,X04,Other - Paediatric Services,367154.0,215901.0,137322.0,13931.0,2024-02-01,58.8,3.79
RTT-February-2024,C_160,Plastic Surgery Service,107403.0,54953.0,45218.0,7232.0,2024-02-01,51.17,6.73
RTT-February-2024,C_170,Cardiothoracic Surgery Service,9454.0,6059.0,3068.0,327.0,2024-02-01,64.09,3.46
RTT-February-2024,C_430,Elderly Medicine Service,25131.0,19308.0,5691.0,132.0,2024-02-01,76.83,0.53
RTT-February-2024,C_120,Ear Nose and Throat Service,627870.0,308825.0,279855.0,39190.0,2024-02-01,49.19,6.24
RTT-February-2024,C_150,Neurosurgical Service,60423.0,33042.0,23998.0,3383.0,2024-02-01,54.68,5.6
RTT-February-2024,X06,Other - Other Services,173170.0,122862.0,47295.0,3013.0,2024-02-01,70.95,1.74
RTT-February-2024,C_502,Gynaecology Service,592406.0,315483.0,246801.0,30122.0,2024-02-01,53.25,5.08
RTT-February-2024,C_130,Ophthalmology Service,607752.0,389735.0,203481.0,14536.0,2024-02-01,64.13,2.39
RTT-February-2024,C_999,Total,7536907.0,4338109.0,2893879.0,304919.0,2024-02-01,57.56,4.05
RTT-February-2024,C_101,Urology Service,417869.0,239825.0,158483.0,19561.0,2024-02-01,57.39,4.68
RTT-February-2024,C_100,General Surgery Service,421906.0,233699.0,166491.0,21716.0,2024-02-01,55.39,5.15
RTT-February-2024,C_110,Trauma and Orthopaedic Service,842354.0,457149.0,340503.0,44702.0,2024-02-01,54.27,5.31
RTT-March-2024,X04,Other - Paediatric Services,364323.0,215391.0,134607.0,14325.0,2024-03-01,59.12,3.93
RTT-March-2024,X02,Other - Medical Services,639202.0,405448.0,220238.0,13516.0,2024-03-01,63.43,2.11
RTT-March-2024,C_140,Oral Surgery Service,327578.0,161911.0,144482.0,21185.0,2024-03-01,49.43,6.47
RTT-March-2024,C_400,Neurology Service,231781.0,122187.0,102403.0,7191.0,2024-03-01,52.72,3.1
RTT-March-2024,C_320,Cardiology Service,405304.0,240196.0,154556.0,10552.0,2024-03-01,59.26,2.6
RTT-March-2024,C_502,Gynaecology Service,591351.0,311929.0,248684.0,30738.0,2024-03-01,52.75,5.2
RTT-March-2024,C_340,Respiratory Medicine Service,225989.0,141010.0,78484.0,6495.0,2024-03-01,62.4,2.87
RTT-March-2024,C_160,Plastic Surgery Service,105730.0,53307.0,45316.0,7107.0,2024-03-01,50.42,6.72
RTT-March-2024,C_430,Elderly Medicine Service,24422.0,18512.0,5770.0,140.0,2024-03-01,75.8,0.57
RTT-March-2024,C_170,Cardiothoracic Surgery Service,9292.0,5997.0,2954.0,341.0,2024-03-01,64.54,3.67
RTT-March-2024,C_410,Rheumatology Service,122749.0,78756.0,41932.0,2061.0,2024-03-01,64.16,1.68
RTT-March-2024,C_330,Dermatology Service,406523.0,235590.0,159729.0,11204.0,2024-03-01,57.95,2.76
RTT-March-2024,C_301,Gastroenterology Service,390454.0,231005.0,145345.0,14104.0,2024-03-01,59.16,3.61
RTT-March-2024,C_300,General Internal Medicine Service,36541.0,24443.0,11272.0,826.0,2024-03-01,66.89,2.26
RTT-March-2024,C_150,Neurosurgical Service,59945.0,33157.0,23849.0,2939.0,2024-03-01,55.31,4.9
RTT-March-2024,X05,Other - Surgical Services,488941.0,280924.0,187030.0,20987.0,2024-03-01,57.46,4.29
RTT-March-2024,C_110,Trauma and Orthopaedic Service,835449.0,448436.0,343897.0,43116.0,2024-03-01,53.68,5.16
RTT-March-2024,X03,Other - Mental Health Services,4548.0,3380.0,1127.0,41.0,2024-03-01,74.32,0.9
RTT-March-2024,C_100,General Surgery Service,421329.0,233438.0,166896.0,20995.0,2024-03-01,55.41,4.98
RTT-March-2024,C_101,Urology Service,418750.0,238554.0,160781.0,19415.0,2024-03-01,56.97,4.64
RTT-March-2024,C_120,Ear Nose and Throat Service,639365.0,313073.0,283224.0,43068.0,2024-03-01,48.97,6.74
RTT-March-2024,X06,Other - Other Services,177922.0,124725.0,49681.0,3516.0,2024-03-01,70.1,1.98
RTT-March-2024,C_999,Total,7538830.0,4312728.0,2916803.0,309299.0,2024-03-01,57.21,4.1
RTT-March-2024,C_130,Ophthalmology Service,611342.0,391359.0,204546.0,15437.0,2024-03-01,64.02,2.53
RTT-April-2024,X04,Other - Paediatric Services,365215.0,219898.0,131643.0,13674.0,2024-04-01,60.21,3.74
RTT-April-2024,C_160,Plastic Surgery Service,104865.0,53852.0,44046.0,6967.0,2024-04-01,51.35,6.64
RTT-April-2024,C_301,Gastroenterology Service,392168.0,237712.0,141300.0,13156.0,2024-04-01,60.61,3.35
RTT-April-2024,C_400,Neurology Service,234119.0,124840.0,102034.0,7245.0,2024-04-01,53.32,3.09
RTT-April-2024,C_300,General Internal Medicine Service,37184.0,25159.0,11229.0,796.0,2024-04-01,67.66,2.14
RTT-April-2024,X06,Other - Other Services,172816.0,122117.0,47169.0,3530.0,2024-04-01,70.66,2.04
RTT-April-2024,C_100,General Surgery Service,424237.0,240288.0,164022.0,19927.0,2024-04-01,56.64,4.7
RTT-April-2024,C_120,Ear Nose and Throat Service,652244.0,327399.0,280362.0,44483.0,2024-04-01,50.2,6.82
RTT-April-2024,C_170,Cardiothoracic Surgery Service,8890.0,5809.0,2759.0,322.0,2024-04-01,65.34,3.62
RTT-April-2024,C_150,Neurosurgical Service,59305.0,32930.0,23505.0,2870.0,2024-04-01,55.53,4.84
RTT-April-2024,C_340,Respiratory Medicine Service,226651.0,144067.0,76268.0,6316.0,2024-04-01,63.56,2.79
RTT-April-2024,C_320,Cardiology Service,410149.0,246974.0,152969.0,10206.0,2024-04-01,60.22,2.49
RTT-April-2024,C_330,Dermatology Service,408453.0,245178.0,152419.0,10856.0,2024-04-01,60.03,2.66
RTT-April-2024,C_999,Total,7570371.0,4408948.0,2858834.0,302589.0,2024-04-01,58.24,4.0
RTT-April-2024,C_502,Gynaecology Service,594596.0,319772.0,245164.0,29660.0,2024-04-01,53.78,4.99
RTT-April-2024,C_430,Elderly Medicine Service,24017.0,18672.0,5198.0,147.0,2024-04-01,77.74,0.61
RTT-April-2024,X02,Other - Medical Services,641086.0,410999.0,216450.0,13637.0,2024-04-01,64.11,2.13
RTT-April-2024,X05,Other - Surgical Services,492790.0,288267.0,183972.0,20551.0,2024-04-01,58.5,4.17
RTT-April-2024,C_140,Oral Surgery Service,329714.0,164745.0,143917.0,21052.0,2024-04-01,49.97,6.38
