period,kind,source_file,sha256,size_bytes,download_url,publication_page
2024-12,monthly,data/rtt_monthly_series/202412-RTT-December2024-incomplete-pathways.csv,e882acc559d2d709a42defa4e0721e6b6dc6765f005aa0bf4d2b656fc83774bc,43537648,https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2025/07/Full-CSV-data-file-Dec24-ZIP-4M-revised.zip,https://www.england.nhs.uk/statistics/statistical-work-areas/rtt-waiting-times/rtt-data-2024-25/
2025-01,monthly,data/rtt_monthly_series/202501-RTT-January2025-incomplete-pathways.csv,3de94fcba764a2f78056ba8410efd86b62f033b957504807dec9285ad06717e1,43303107,,https://www.england.nhs.uk/statistics/statistical-work-areas/rtt-waiting-times/rtt-data-2024-25/
2025-02,monthly,data/rtt_monthly_series/202502-RTT-February2025-incomplete-pathways.csv,9dbe97529088973448ed5d88d9fab939c874555ab65531c06037d037af79cbfe,43106795,https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2025/07/Full-CSV-data-file-Feb25-ZIP-4M-revised.zip,https://www.england.nhs.uk/statistics/statistical-work-areas/rtt-waiting-times/rtt-data-2024-25/
2025-02,full,data/source_research/20250228-RTT-February-2025-full-extract-revised.csv,6898db6ac0d15238d73704629775e40112818268a23125fd1977e535622b6b81,85477170,https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2025/07/Full-CSV-data-file-Feb25-ZIP-4M-revised.zip,https://www.england.nhs.uk/statistics/statistical-work-areas/rtt-waiting-times/rtt-data-2024-25/
2025-03,monthly,data/rtt_monthly_series/202503-RTT-March2025-incomplete-pathways.csv,be65ed8b280187ac2161a7ee8c7bbdbc491bc41aeebbcde9621d72173b10226a,42689345,https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2025/07/Full-CSV-data-file-Mar25-ZIP-4M-revised.zip,https://www.england.nhs.uk/statistics/statistical-work-areas/rtt-waiting-times/rtt-data-2024-25/
2025-04,monthly,data/rtt_monthly_series/202504-RTT-April2025-incomplete-pathways.csv,55bd4528a8a7af949f51eaacf7c79f07417f259ff1d2cd0ce1d61a901c9a24d7,42537194,https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2026/02/Full-CSV-data-file-Apr25-ZIP-4M-revised.zip,https://www.england.nhs.uk/statistics/statistical-work-areas/rtt-waiting-times/rtt-data-2025-26/
2025-05,monthly,data/rtt_monthly_series/202505-RTT-May2025-incomplete-pathways.csv,51a5dbceeba7bebfe46ac06c773e074a3bcf564197a4272ac9fca298151eda1a,42221317,https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2026/02/Full-CSV-data-file-May25-ZIP-4M-revised.zip,https://www.england.nhs.uk/statistics/statistical-work-areas/rtt-waiting-times/rtt-data-2025-26/
2025-06,monthly,data/rtt_monthly_series/202506-RTT-June2025-incomplete-pathways.csv,7607b5c994ec14b85389e847b924b120b4705a8ba7c817b24a73b0f26a13236e,42093405,https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2026/02/Full-CSV-data-file-Jun25-ZIP-4M-revised.zip,https://www.england.nhs.uk/statistics/statistical-work-areas/rtt-waiting-times/rtt-data-2025-26/
2025-07,monthly,data/rtt_monthly_series/202507-RTT-July2025-incomplete-pathways.csv,76cddddd1cbd105b751ff4f3ce9e346e8b9c4ef9cb9c144a31c76d1b67486bb5,41819417,https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2026/02/Full-CSV-data-file-Jul25-ZIP-4M-revised-2.zip,https://www.england.nhs.uk/statistics/statistical-work-areas/rtt-waiting-times/rtt-data-2025-26/
2025-08,monthly,data/rtt_monthly_series/202508-RTT-August2025-incomplete-pathways.csv,4200f2c1338795882f37a4b5d382793f6171dd43d27218d63f51602c75f84bbe,42048506,https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2026/02/Full-CSV-data-file-Aug25-ZIP-4M-revised-2.zip,https://www.england.nhs.uk/statistics/statistical-work-areas/rtt-waiting-times/rtt-data-2025-26/
