specialty_code,specialty,floor,sd_min,sd_max,sd_trend_pp_year,icc1,split_half_spearman,first_last_spearman,first_last_n,balanced_n
C_301,Gastroenterology,1000,12.558046365186145,15.442686081119954,-0.8148593342077317,0.7508813166772197,0.7507004476031024,0.5034623462346234,100,92
C_130,Ophthalmology,1000,10.131632903887363,12.674699165726567,-0.638563288420587,0.7083410364903883,0.7290050829266318,0.48783951897159444,105,103
C_120,"Ear, Nose and Throat",1000,9.608605092195939,12.208934024647414,-0.849393858816319,0.6862741383603458,0.7186043215001722,0.4446911196911197,111,108
C_110,Trauma and Orthopaedics,1000,11.06345488382811,14.988777324314404,-1.202786394169278,0.8198028563695752,0.8487483206448724,0.6162765703367566,159,150
