specialty_code,specialty,provider_code,from_period,to_period,from_total,to_total,relative_change,material_event,opposite_siblings,sibling_details,opposite_material_sibling
C_301,Gastroenterology,NEY,2024-02,2024-03,0.0,1.0,inf,False,C_110|C_150|C_400|X06,C_110 239->167 (-30.1%); C_150 159->156 (-1.9%); C_400 336->296 (-11.9%); X06 135->14 (-89.6%),False
C_301,Gastroenterology,NEY,2024-03,2024-04,1.0,0.0,-1.0,False,C_101|C_110|C_120|C_130|C_150|C_160|X02|X06,C_101 11->55 (+400.0%); C_110 167->331 (+98.2%); C_120 701->958 (+36.7%); C_130 3->644 (+21366.7%); C_150 156->166 (+6.4%); C_160 0->1 (+inf%); X02 0->219 (+inf%); X06 14->45 (+221.4%),True
C_301,Gastroenterology,NID,2026-02,2026-03,0.0,232.0,inf,False,,,False
C_301,Gastroenterology,NID,2026-04,2026-05,152.0,457.0,2.0065789473684212,False,,,False
C_301,Gastroenterology,NN5,2024-01,2024-02,234.0,95.0,-0.594017094017094,False,,,False
C_301,Gastroenterology,NN5,2024-02,2024-03,95.0,31.0,-0.6736842105263158,False,,,False
C_301,Gastroenterology,NN5,2024-09,2024-10,12.0,46.0,2.8333333333333335,False,C_110|C_120|C_502,C_110 75->74 (-1.3%); C_120 14->5 (-64.3%); C_502 13->2 (-84.6%),False
C_301,Gastroenterology,NN5,2025-09,2025-10,27.0,42.0,0.5555555555555556,False,C_100,C_100 152->126 (-17.1%),False
C_301,Gastroenterology,NRP,2024-01,2024-02,50.0,16.0,-0.68,False,,,False
C_301,Gastroenterology,NRP,2024-02,2024-03,16.0,51.0,2.1875,False,C_120,C_120 560->449 (-19.8%),False
C_301,Gastroenterology,NRP,2024-03,2024-04,51.0,87.0,0.7058823529411765,False,C_120,C_120 449->405 (-9.8%),False
C_301,Gastroenterology,NRP,2024-05,2024-06,66.0,14.0,-0.7878787878787878,False,C_120,C_120 273->425 (+55.7%),False
C_301,Gastroenterology,NRP,2024-09,2024-10,22.0,35.0,0.5909090909090909,False,C_120,C_120 504->442 (-12.3%),False
C_301,Gastroenterology,NRP,2024-11,2024-12,22.0,61.0,1.7727272727272727,False,C_120,C_120 418->132 (-68.4%),False
C_301,Gastroenterology,NRP,2025-01,2025-02,89.0,157.0,0.7640449438202247,False,,,False
C_301,Gastroenterology,NRP,2025-05,2025-06,187.0,468.0,1.5026737967914439,False,,,False
C_301,Gastroenterology,NRP,2026-01,2026-02,1039.0,1669.0,0.6063522617901829,True,,,False
C_301,Gastroenterology,NT206,2026-03,2026-04,0.0,1.0,inf,False,C_110|X02,C_110 572->498 (-12.9%); X02 13->10 (-23.1%),False
C_301,Gastroenterology,NT209,2024-02,2024-03,3.0,0.0,-1.0,False,C_110,C_110 380->382 (+0.5%),False
C_301,Gastroenterology,NT209,2024-07,2024-08,0.0,2.0,inf,False,C_100,C_100 13->5 (-61.5%),False
C_301,Gastroenterology,NT209,2024-10,2024-11,2.0,10.0,4.0,False,C_100,C_100 5->2 (-60.0%),False
C_301,Gastroenterology,NT209,2024-12,2025-01,10.0,18.0,0.8,False,C_100|C_110,C_100 2->1 (-50.0%); C_110 332->315 (-5.1%),False
C_301,Gastroenterology,NT209,2026-02,2026-03,6.0,1.0,-0.8333333333333334,False,,,False
C_301,Gastroenterology,NT210,2024-09,2024-10,0.0,2.0,inf,False,,,False
C_301,Gastroenterology,NT210,2024-11,2024-12,2.0,0.0,-1.0,False,C_100|C_110,C_100 11->22 (+100.0%); C_110 302->310 (+2.6%),False
C_301,Gastroenterology,NT210,2025-01,2025-02,0.0,1.0,inf,False,C_110,C_110 279->265 (-5.0%),False
C_301,Gastroenterology,NT210,2025-04,2025-05,1.0,0.0,-1.0,False,C_110|X06,C_110 243->262 (+7.8%); X06 35->45 (+28.6%),False
C_301,Gastroenterology,NT213,2024-02,2024-03,0.0,1.0,inf,False,X02,X02 8->6 (-25.0%),False
C_301,Gastroenterology,NT213,2024-05,2024-06,1.0,0.0,-1.0,False,X02,X02 12->18 (+50.0%),False
C_301,Gastroenterology,NT213,2024-06,2024-07,0.0,1.0,inf,False,C_100|X02,C_100 100->86 (-14.0%); X02 18->14 (-22.2%),False
C_301,Gastroenterology,NT213,2024-10,2024-11,1.0,2.0,1.0,False,C_100|C_110|X02,C_100 82->78 (-4.9%); C_110 1229->1201 (-2.3%); X02 12->11 (-8.3%),False
C_301,Gastroenterology,NT213,2025-01,2025-02,2.0,0.0,-1.0,False,C_110,C_110 1282->1336 (+4.2%),False
C_301,Gastroenterology,NT213,2025-07,2025-08,0.0,1.0,inf,False,C_110,C_110 1000->983 (-1.7%),False
C_301,Gastroenterology,NT213,2025-08,2025-09,1.0,0.0,-1.0,False,,,False
C_301,Gastroenterology,NT216,2024-10,2024-11,0.0,2.0,inf,False,C_100|C_101|C_120|C_140|X02,C_100 81->73 (-9.9%); C_101 18->16 (-11.1%); C_120 22->13 (-40.9%); C_140 8->6 (-25.0%); X02 44->34 (-22.7%),False
C_301,Gastroenterology,NT216,2024-12,2025-01,2.0,5.0,1.5,False,,,False
C_301,Gastroenterology,NT216,2025-01,2025-02,5.0,9.0,0.8,False,C_120|C_140,C_120 14->11 (-21.4%); C_140 6->4 (-33.3%),False
C_301,Gastroenterology,NT216,2025-03,2025-04,7.0,3.0,-0.5714285714285714,False,C_101|C_502,C_101 23->44 (+91.3%); C_502 106->111 (+4.7%),False
C_301,Gastroenterology,NT216,2025-04,2025-05,3.0,0.0,-1.0,False,,,False
C_301,Gastroenterology,NT216,2025-06,2025-07,0.0,2.0,inf,False,,,False
C_301,Gastroenterology,NT216,2025-10,2025-11,1.0,0.0,-1.0,False,C_120,C_120 2->3 (+50.0%),False
C_301,Gastroenterology,NT216,2025-12,2026-01,0.0,2.0,inf,False,,,False
C_301,Gastroenterology,NT216,2026-01,2026-02,2.0,0.0,-1.0,False,,,False
C_301,Gastroenterology,NT225,2025-02,2025-03,0.0,1.0,inf,False,C_502,C_502 39->30 (-23.1%),False
C_301,Gastroenterology,NT225,2025-05,2025-06,1.0,0.0,-1.0,False,C_100|C_110|C_502,C_100 287->288 (+0.3%); C_110 1155->1211 (+4.8%); C_502 11->13 (+18.2%),False
C_301,Gastroenterology,NT225,2025-07,2025-08,0.0,4.0,inf,False,C_100|C_110|C_120|C_502,C_100 308->301 (-2.3%); C_110 1279->1233 (-3.6%); C_120 34->31 (-8.8%); C_502 12->6 (-50.0%),False
C_301,Gastroenterology,NT225,2025-08,2025-09,4.0,13.0,2.25,False,C_100|C_110|C_120|C_150|C_502|X02,C_100 301->274 (-9.0%); C_110 1233->1117 (-9.4%); C_120 31->24 (-22.6%); C_150 5->4 (-20.0%); C_502 6->5 (-16.7%); X02 2->1 (-50.0%),False
C_301,Gastroenterology,NT225,2025-10,2025-11,17.0,31.0,0.8235294117647058,False,C_100|C_110|C_120|C_502,C_100 270->251 (-7.0%); C_110 1031->981 (-4.8%); C_120 17->12 (-29.4%); C_502 2->1 (-50.0%),False
C_301,Gastroenterology,NT225,2025-11,2025-12,31.0,0.0,-1.0,False,,,False
C_301,Gastroenterology,NT233,2024-09,2024-10,23.0,10.0,-0.5652173913043478,False,C_101|C_110|C_150|X06,C_101 17->21 (+23.5%); C_110 792->822 (+3.8%); C_150 33->54 (+63.6%); X06 46->51 (+10.9%),False
C_301,Gastroenterology,NT233,2024-11,2024-12,5.0,2.0,-0.6,False,C_100|C_110|C_150|C_160,C_100 115->124 (+7.8%); C_110 895->905 (+1.1%); C_150 95->97 (+2.1%); C_160 92->109 (+18.5%),False
C_301,Gastroenterology,NT233,2024-12,2025-01,2.0,8.0,3.0,False,C_100|C_101|C_110|C_160|X06,C_100 124->100 (-19.4%); C_101 23->10 (-56.5%); C_110 905->778 (-14.0%); C_160 109->74 (-32.1%); X06 58->49 (-15.5%),False
C_301,Gastroenterology,NT233,2025-02,2025-03,5.0,1.0,-0.8,False,C_160,C_160 65->69 (+6.2%),False
C_301,Gastroenterology,NT233,2025-03,2025-04,1.0,3.0,2.0,False,C_101|C_110,C_101 15->14 (-6.7%); C_110 692->638 (-7.8%),False
C_301,Gastroenterology,NT233,2025-04,2025-05,3.0,1.0,-0.6666666666666666,False,C_100|C_101,C_100 117->119 (+1.7%); C_101 14->23 (+64.3%),False
C_301,Gastroenterology,NT233,2025-05,2025-06,1.0,3.0,2.0,False,C_101|C_110|C_150|C_160|X06,C_101 23->20 (-13.0%); C_110 624->576 (-7.7%); C_150 126->91 (-27.8%); C_160 67->65 (-3.0%); X06 36->26 (-27.8%),False
C_301,Gastroenterology,NT233,2025-06,2025-07,3.0,5.0,0.6666666666666666,False,,,False
C_301,Gastroenterology,NT233,2025-07,2025-08,5.0,9.0,0.8,False,C_100|C_150,C_100 134->110 (-17.9%); C_150 97->78 (-19.6%),False
C_301,Gastroenterology,NT233,2025-08,2025-09,9.0,23.0,1.5555555555555556,False,C_160,C_160 75->59 (-21.3%),False
C_301,Gastroenterology,NT233,2025-09,2025-10,23.0,7.0,-0.6956521739130435,False,C_100|C_150|X06,C_100 126->136 (+7.9%); C_150 85->87 (+2.4%); X06 39->45 (+15.4%),False
C_301,Gastroenterology,NT233,2025-11,2025-12,5.0,12.0,1.4,False,C_160|X06,C_160 51->48 (-5.9%); X06 52->48 (-7.7%),False
C_301,Gastroenterology,NT233,2026-01,2026-02,8.0,16.0,1.0,False,C_100|C_101|C_150|C_160|X06,C_100 136->130 (-4.4%); C_101 7->5 (-28.6%); C_150 144->127 (-11.8%); C_160 36->32 (-11.1%); X06 54->51 (-5.6%),False
C_301,Gastroenterology,NT233,2026-03,2026-04,9.0,15.0,0.6666666666666666,False,,,False
C_301,Gastroenterology,NT301,2025-01,2025-02,14.0,23.0,0.6428571428571429,False,C_110,C_110 624->607 (-2.7%),False
C_301,Gastroenterology,NT305,2024-07,2024-08,0.0,8.0,inf,False,,,False
C_301,Gastroenterology,NT305,2024-08,2024-09,8.0,0.0,-1.0,False,,,False
C_301,Gastroenterology,NT308,2026-03,2026-04,0.0,1.0,inf,False,C_110,C_110 596->545 (-8.6%),False
C_301,Gastroenterology,NT30A,2026-04,2026-05,0.0,1.0,inf,False,C_100,C_100 162->122 (-24.7%),False
C_301,Gastroenterology,NT312,2026-04,2026-05,0.0,1.0,inf,False,C_160,C_160 8->7 (-12.5%),False
C_301,Gastroenterology,NT313,2024-12,2025-01,0.0,1.0,inf,False,C_100|C_110,C_100 149->131 (-12.1%); C_110 1065->1054 (-1.0%),False
C_301,Gastroenterology,NT313,2025-10,2025-11,1.0,0.0,-1.0,False,C_100,C_100 147->163 (+10.9%),False
C_301,Gastroenterology,NT314,2026-02,2026-03,0.0,4.0,inf,False,C_160,C_160 45->41 (-8.9%),False
C_301,Gastroenterology,NT314,2026-03,2026-04,4.0,0.0,-1.0,False,C_100|C_150|C_160|C_502,C_100 578->671 (+16.1%); C_150 402->423 (+5.2%); C_160 41->43 (+4.9%); C_502 712->770 (+8.1%),False
C_301,Gastroenterology,NT314,2026-04,2026-05,0.0,24.0,inf,False,C_100|C_150|C_160,C_100 671->518 (-22.8%); C_150 423->394 (-6.9%); C_160 43->38 (-11.6%),False
C_301,Gastroenterology,NT315,2025-07,2025-08,0.0,3.0,inf,False,C_120|X05,C_120 90->78 (-13.3%); X05 245->221 (-9.8%),False
C_301,Gastroenterology,NT315,2025-12,2026-01,1.0,40.0,39.0,False,C_100|C_101|C_120|X05,C_100 321->313 (-2.5%); C_101 46->22 (-52.2%); C_120 65->64 (-1.5%); X05 163->153 (-6.1%),False
C_301,Gastroenterology,NT316,2026-04,2026-05,0.0,1.0,inf,False,C_100,C_100 160->121 (-24.4%),False
C_301,Gastroenterology,NT319,2024-07,2024-08,0.0,1.0,inf,False,X05,X05 1->0 (-100.0%),False
C_301,Gastroenterology,NT319,2024-11,2024-12,1.0,0.0,-1.0,False,C_110,C_110 1135->1253 (+10.4%),False
C_301,Gastroenterology,NT319,2026-02,2026-03,0.0,1.0,inf,False,C_110,C_110 1210->1007 (-16.8%),False
C_301,Gastroenterology,NT319,2026-03,2026-04,1.0,0.0,-1.0,False,C_100|X05,C_100 167->202 (+21.0%); X05 0->1 (+inf%),False
C_301,Gastroenterology,NT319,2026-04,2026-05,0.0,2.0,inf,False,C_100|C_110|X05,C_100 202->161 (-20.3%); C_110 871->840 (-3.6%); X05 1->0 (-100.0%),False
C_301,Gastroenterology,NT320,2026-02,2026-03,0.0,1.0,inf,False,,,False
C_301,Gastroenterology,NT320,2026-03,2026-04,1.0,0.0,-1.0,False,C_100|X05,C_100 193->323 (+67.4%); X05 21->22 (+4.8%),False
C_301,Gastroenterology,NT320,2026-04,2026-05,0.0,6.0,inf,False,C_100,C_100 323->157 (-51.4%),False
C_301,Gastroenterology,NT321,2026-04,2026-05,0.0,1.0,inf,False,C_100,C_100 317->232 (-26.8%),False
C_301,Gastroenterology,NT322,2026-02,2026-03,0.0,1.0,inf,False,C_100|C_110,C_100 72->20 (-72.2%); C_110 1240->1203 (-3.0%),False
C_301,Gastroenterology,NT322,2026-03,2026-04,1.0,0.0,-1.0,False,C_100,C_100 20->92 (+360.0%),False
C_301,Gastroenterology,NT322,2026-04,2026-05,0.0,1.0,inf,False,C_100|C_110|X05,C_100 92->11 (-88.0%); C_110 830->807 (-2.8%); X05 1->0 (-100.0%),False
C_301,Gastroenterology,NT324,2024-01,2024-02,7.0,13.0,0.8571428571428571,False,C_100|C_110|C_120|C_160,C_100 299->283 (-5.4%); C_110 641->636 (-0.8%); C_120 152->139 (-8.6%); C_160 87->83 (-4.6%),False
C_301,Gastroenterology,NT324,2024-08,2024-09,9.0,15.0,0.6666666666666666,False,,,False
C_301,Gastroenterology,NT324,2025-02,2025-03,8.0,3.0,-0.625,False,,,False
C_301,Gastroenterology,NT324,2025-04,2025-05,2.0,0.0,-1.0,False,C_100|C_110|C_120|C_160|C_502,C_100 337->451 (+33.8%); C_110 576->619 (+7.5%); C_120 110->150 (+36.4%); C_160 75->95 (+26.7%); C_502 0->1 (+inf%),False
C_301,Gastroenterology,NT324,2025-09,2025-10,0.0,3.0,inf,False,,,False
C_301,Gastroenterology,NT324,2026-01,2026-02,4.0,1.0,-0.75,False,C_120|C_160,C_120 124->134 (+8.1%); C_160 80->83 (+3.8%),False
C_301,Gastroenterology,NT324,2026-02,2026-03,1.0,7.0,6.0,False,C_100|C_101|C_110|C_120|C_160,C_100 445->360 (-19.1%); C_101 7->6 (-14.3%); C_110 668->596 (-10.8%); C_120 134->73 (-45.5%); C_160 83->69 (-16.9%),False
C_301,Gastroenterology,NT324,2026-03,2026-04,7.0,0.0,-1.0,False,C_110,C_110 596->600 (+0.7%),False
C_301,Gastroenterology,NT324,2026-04,2026-05,0.0,12.0,inf,False,C_100|C_160,C_100 342->319 (-6.7%); C_160 66->51 (-22.7%),False
C_301,Gastroenterology,NT325,2026-02,2026-03,0.0,1.0,inf,False,C_100|C_101|C_110|X05,C_100 226->216 (-4.4%); C_101 72->60 (-16.7%); C_110 522->469 (-10.2%); X05 92->83 (-9.8%),False
C_301,Gastroenterology,NT325,2026-03,2026-04,1.0,0.0,-1.0,False,C_100|C_400,C_100 216->246 (+13.9%); C_400 0->1 (+inf%),False
C_301,Gastroenterology,NT325,2026-04,2026-05,0.0,7.0,inf,False,C_100|C_400,C_100 246->236 (-4.1%); C_400 1->0 (-100.0%),False
C_301,Gastroenterology,NT327,2025-10,2025-11,0.0,2.0,inf,False,C_100|C_110,C_100 300->298 (-0.7%); C_110 1213->1090 (-10.1%),False
C_301,Gastroenterology,NT327,2025-11,2025-12,2.0,0.0,-1.0,False,,,False
C_301,Gastroenterology,NT327,2026-02,2026-03,0.0,1.0,inf,False,C_100|C_110|X05,C_100 179->152 (-15.1%); C_110 807->734 (-9.0%); X05 8->7 (-12.5%),False
C_301,Gastroenterology,NT327,2026-03,2026-04,1.0,0.0,-1.0,False,X05,X05 7->10 (+42.9%),False
C_301,Gastroenterology,NT327,2026-04,2026-05,0.0,1.0,inf,False,C_100|C_110,C_100 118->75 (-36.4%); C_110 503->492 (-2.2%),False
C_301,Gastroenterology,NT332,2026-04,2026-05,0.0,2.0,inf,False,X05,X05 1->0 (-100.0%),False
C_301,Gastroenterology,NT333,2026-02,2026-03,0.0,1.0,inf,False,C_100,C_100 173->155 (-10.4%),False
C_301,Gastroenterology,NT333,2026-03,2026-04,1.0,0.0,-1.0,False,C_100|C_110,C_100 155->200 (+29.0%); C_110 1425->1539 (+8.0%),False
C_301,Gastroenterology,NT333,2026-04,2026-05,0.0,4.0,inf,False,C_100,C_100 200->192 (-4.0%),False
C_301,Gastroenterology,NT337,2025-01,2025-02,53.0,99.0,0.8679245283018868,False,C_100|C_101|C_110|C_120,C_100 795->707 (-11.1%); C_101 199->179 (-10.1%); C_110 1498->1469 (-1.9%); C_120 465->433 (-6.9%),False
