specialty_code,specialty,floor,provider_code,provider_name,months_in_bottom_decile,months_in_top_decile,mean_pct,panel
C_301,Gastroenterology,500,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,12,5,57.01570062574928,moving
C_301,Gastroenterology,500,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,22,0,45.72260523593732,moving
C_301,Gastroenterology,500,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,19,0,51.218192391315135,moving
C_301,Gastroenterology,500,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,23,0,47.698217089693465,moving
C_301,Gastroenterology,500,RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,5,0,67.58032943012202,moving
C_301,Gastroenterology,500,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,6,0,59.27391675992445,moving
C_301,Gastroenterology,500,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,7,0,51.80190668000349,moving
C_301,Gastroenterology,500,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,4,0,58.6146180228425,moving
C_301,Gastroenterology,500,RWH,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,15,0,50.19441573067519,moving
C_301,Gastroenterology,500,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,1,0,61.49492132631477,moving
C_301,Gastroenterology,500,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,26,0,44.59313062058097,moving
C_301,Gastroenterology,500,RWD,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,9,0,52.52215111361698,moving
C_301,Gastroenterology,500,NV1,INHEALTH LIMITED,0,12,99.87966501550257,moving
C_301,Gastroenterology,500,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,0,4,80.80413253854589,moving
C_301,Gastroenterology,500,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,0,29,96.51798267077903,moving
C_301,Gastroenterology,500,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,0,16,86.83489372148205,moving
C_301,Gastroenterology,500,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,0,20,87.88095925217536,moving
C_301,Gastroenterology,500,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",0,22,90.06236572930041,moving
C_301,Gastroenterology,500,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,0,28,91.00767224193368,moving
C_301,Gastroenterology,500,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,0,29,95.14766139728427,moving
C_301,Gastroenterology,500,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,0,16,85.05016257930214,moving
C_301,Gastroenterology,500,RKE,WHITTINGTON HEALTH NHS TRUST,0,10,83.31240244682206,moving
C_301,Gastroenterology,500,RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,0,2,72.13610666874384,moving
C_301,Gastroenterology,500,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,0,26,89.36079049384556,moving
C_301,Gastroenterology,500,AY1,MEDEFER,2,0,72.20901760696039,moving
C_301,Gastroenterology,500,RJN,EAST CHESHIRE NHS TRUST,13,0,49.88624846127591,moving
C_301,Gastroenterology,500,NTP15,PRACTICE PLUS GROUP HOSPITAL - ILFORD,0,5,91.62941512260421,moving
C_301,Gastroenterology,500,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,0,1,68.10688581363662,moving
C_301,Gastroenterology,500,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,18,0,49.66541926042657,moving
C_301,Gastroenterology,500,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,0,12,84.83917918434724,moving
C_301,Gastroenterology,500,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,0,5,77.21497136815665,moving
C_301,Gastroenterology,500,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,0,18,86.74485328266023,moving
C_301,Gastroenterology,500,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,4,0,57.80141543193973,moving
C_301,Gastroenterology,500,RPA,MEDWAY NHS FOUNDATION TRUST,6,0,52.223307343631134,moving
C_301,Gastroenterology,500,NVC29,COBALT HOSPITAL,0,6,88.44760079189142,moving
C_301,Gastroenterology,500,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,11,0,53.53234118221341,moving
C_301,Gastroenterology,500,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,0,20,85.82676644318701,moving
C_301,Gastroenterology,500,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,5,0,60.641546123346394,moving
C_301,Gastroenterology,500,R1H,BARTS HEALTH NHS TRUST,6,0,54.13658218740918,moving
C_301,Gastroenterology,500,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,18,0,47.17392879212054,moving
C_301,Gastroenterology,500,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,0,1,78.24966283012868,moving
C_301,Gastroenterology,500,RWJ,STOCKPORT NHS FOUNDATION TRUST,7,0,55.06827958654098,moving
C_301,Gastroenterology,500,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,3,0,62.84688958971047,moving
C_301,Gastroenterology,500,AAV,COMMUNITY HEALTH AND EYECARE LIMITED,0,8,96.52377432798984,moving
C_301,Gastroenterology,500,RAX,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,7,0,53.80015954303806,moving
C_301,Gastroenterology,500,RLQ,WYE VALLEY NHS TRUST,5,0,57.58222828865971,moving
C_301,Gastroenterology,500,NTE02,ST HUGH'S HOSPITAL,5,0,25.64092601854008,moving
C_301,Gastroenterology,500,NEQ,PHOENIX HEALTH SOLUTIONS LIMITED HQ,0,2,92.5270842156065,moving
C_301,Gastroenterology,500,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,11,0,52.23913579735164,moving
C_301,Gastroenterology,500,RN7,DARTFORD AND GRAVESHAM NHS TRUST,4,0,57.39304721087311,moving
C_301,Gastroenterology,500,NTPH2,PRACTICE PLUS GROUP HOSPITAL - EMERSONS GREEN,0,7,99.95583253442635,moving
C_301,Gastroenterology,500,RRF,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",2,0,54.84246666379082,moving
C_301,Gastroenterology,500,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,4,0,58.21704771427972,moving
C_301,Gastroenterology,500,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,0,15,82.51018804018317,moving
C_301,Gastroenterology,500,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,3,0,59.40031777535792,moving
C_301,Gastroenterology,500,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,10,0,53.26629174275413,moving
C_301,Gastroenterology,500,RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,0,3,72.59580507102233,moving
C_301,Gastroenterology,500,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,15,0,51.06733890606408,moving
C_301,Gastroenterology,500,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,0,2,80.12102330982506,moving
C_301,Gastroenterology,500,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,9,0,53.21248291622558,moving
C_301,Gastroenterology,500,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,0,9,83.86916940215454,moving
C_301,Gastroenterology,500,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,0,11,78.3245978044835,moving
C_301,Gastroenterology,500,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,11,0,55.60833871352633,moving
C_301,Gastroenterology,500,NRP,BEACON MEDICAL SERVICES GROUP LIMITED,0,8,97.22030095771231,moving
C_301,Gastroenterology,500,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,10,0,53.33011837435724,moving
C_301,Gastroenterology,500,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",8,0,54.37487470760059,moving
C_301,Gastroenterology,500,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,9,0,61.69525247964117,moving
C_301,Gastroenterology,500,NVC20,THE YORKSHIRE CLINIC,0,3,74.67108130556439,moving
C_301,Gastroenterology,500,RVJ,NORTH BRISTOL NHS TRUST,1,0,60.7948499539344,moving
C_301,Gastroenterology,500,RBK,WALSALL HEALTHCARE NHS TRUST,0,4,77.13788484702587,moving
C_301,Gastroenterology,500,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,0,3,79.45778036082207,moving
C_301,Gastroenterology,500,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,2,0,58.697652249477926,moving
C_301,Gastroenterology,500,RA2,ROYAL SURREY NHS FOUNDATION TRUST,4,0,59.85373324476082,moving
C_301,Gastroenterology,500,NVM,EPSOMEDICAL GROUP,1,0,83.57654999013302,moving
C_301,Gastroenterology,500,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,3,0,57.371550300471405,moving
C_301,Gastroenterology,500,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,0,1,75.85047764601968,moving
C_301,Gastroenterology,500,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,0,1,62.176034051026946,moving
