specialty_code,specialty,floor,n_first,n_last,n_first_last,first_last_spearman,consecutive_mean_spearman,consecutive_min_spearman,consecutive_max_spearman,bottom_decile_start_n,bottom_decile_survivors,bottom_decile_expected_random,bottom_decile_survivor_codes,top_decile_start_n,top_decile_survivors,top_decile_expected_random,top_decile_survivor_codes,n_providers,first_half,second_half,spearman,quartile_size,worst_quartile_retained,best_quartile_retained,quartile_expected_random,panel
C_301,Gastroenterology,500,120,120,114,0.522115793523825,0.9744820441187356,0.9389047144281442,0.9840193704600485,12,3,1.263157894736842,RGP|RXL|RXN,12,4,1.1578947368421053,R0B|RFF|RTF|RTR,123,2024-01..2025-02,2025-04..2026-05,0.7582063948614103,31,18,24,7.813008130081301,moving
C_130,Ophthalmology,500,131,172,123,0.6164372960493223,0.9819343682125433,0.954989587120584,0.991580948121646,14,6,2.048780487804878,RD8|RGN|RJE|RM3|RXL|RYR,14,2,1.7560975609756098,ACG24|ACG37,142,2024-01..2025-02,2025-04..2026-05,0.829125025409113,36,22,27,9.126760563380282,moving
C_120,"Ear, Nose and Throat",500,123,124,118,0.4790354212089008,0.9705537530975611,0.9207153502235466,0.9857775897905301,13,6,1.4322033898305084,R1K|RAS|RGP|RKB|RMC|RXK,13,5,1.2118644067796611,NRP|R0B|REF|RHW|RVR,125,2024-01..2025-02,2025-04..2026-05,0.7654377880184331,32,19,23,8.192,moving
C_110,Trauma and Orthopaedics,500,223,222,203,0.6563673608740185,0.9825731171605147,0.9613567928897908,0.9908131794853473,23,6,2.605911330049261,RBD|REF|RM1|RWH|RXW|RYR,23,9,1.6995073891625616,ADP02|NLX|NNE|NT339|NT350|RHW|RW1|RW5|RYY,220,2024-01..2025-02,2025-04..2026-05,0.8697283377380074,55,42,41,13.75,moving
C_301,Gastroenterology,1000,110,106,100,0.5034623462346234,0.9750921754813022,0.9297588765993121,0.9844623019371741,11,3,1.21,RGP|RXL|RXN,11,4,1.1,R0B|REF|RTF|RTR,112,2024-01..2025-02,2025-04..2026-05,0.7507004476031024,28,16,21,7.0,moving
C_130,Ophthalmology,1000,109,118,105,0.48783951897159444,0.9771018387837185,0.9399146580555876,0.989251528082113,11,5,1.2571428571428571,RD8|RGN|RJE|RM3|RYR,11,3,1.0285714285714285,ACG37|RVR|RWY,114,2024-01..2025-02,2025-04..2026-05,0.7290050829266318,29,18,23,7.37719298245614,moving
C_120,"Ear, Nose and Throat",1000,115,114,111,0.4446911196911197,0.9688093548681395,0.9101633393829401,0.9861850422516469,12,6,1.2972972972972974,R1K|RAS|RGP|RKB|RMC|RXK,12,4,1.1891891891891893,R0B|REF|RHW|RVR,114,2024-01..2025-02,2025-04..2026-05,0.7186043215001722,29,16,21,7.37719298245614,moving
C_110,Trauma and Orthopaedics,1000,175,173,159,0.6162765703367566,0.984120987116327,0.961998679286815,0.9906383344890948,18,6,2.0377358490566038,RBD|REF|RM1|RWH|RXW|RYR,18,8,1.3584905660377358,NLX|NT333|RHW|RVW|RW1|RW5|RXP|RYY,175,2024-01..2025-02,2025-04..2026-05,0.8487483206448724,44,29,32,11.062857142857142,moving
