specialty_code,specialty,floor,n_providers,n_months,share_variance_between_providers,share_variance_within_provider,icc1,sd_provider_means_pp,mean_within_provider_sd_pp
C_301,Gastroenterology,500,110,29,0.7342966379623879,0.26570336203761225,0.7266487086361663,11.594285837030574,6.2368518433811095
C_130,Ophthalmology,500,110,29,0.7825346087632208,0.21746539123677922,0.7763734510785327,10.932396615179375,5.239885967752178
C_120,"Ear, Nose and Throat",500,114,29,0.7140586554700566,0.2859413445299433,0.7057061378639866,9.875727130018731,5.812421562280249
C_110,Trauma and Orthopaedics,500,191,29,0.837472042394951,0.16252795760504896,0.8324061837205498,12.404481613002536,4.880595411766928
C_301,Gastroenterology,1000,92,29,0.7574694961706502,0.24253050382934976,0.7508813166772197,11.472292204396327,5.951645848219044
C_130,Ophthalmology,1000,103,29,0.7164203477238092,0.2835796522761907,0.7083410364903883,9.286062962687673,5.3043715362910095
C_120,"Ear, Nose and Throat",1000,108,29,0.6951244344786643,0.3048755655213357,0.6862741383603458,9.285641311738706,5.706587715255662
C_110,Trauma and Orthopaedics,1000,150,29,0.825053157729141,0.17494684227085897,0.8198028563695752,11.272051075561007,4.606337773085642
