n,pathways,mean_pct,sd_pct,min_pct,min_provider,min_provider_name,q1_pct,median_pct,q3_pct,iqr_pp,max_pct,max_provider,max_provider_name,range_pp,specialty_code,specialty,period,label,first_release
120,372913,63.433083492422654,15.374806036859264,19.63963963963964,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,53.04875681654208,61.003436807990376,74.61023896197015,21.561482145428073,99.86936642717178,NV1,INHEALTH LIMITED,80.22972678753214,C_301,Gastroenterology,2024-01,January 2024,False
123,379764,64.00980260689862,15.369334834348113,23.535062439961575,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,53.772279810117595,61.544650040225264,75.76409837154188,21.99181856142428,100.0,NV1,INHEALTH LIMITED,76.46493756003842,C_301,Gastroenterology,2024-02,February 2024,False
122,379216,63.261251901570766,15.008006944887834,34.005037783375315,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,53.284064028882185,61.270396672729525,74.0432046894767,20.75914066059451,100.0,NV1,INHEALTH LIMITED,65.99496221662469,C_301,Gastroenterology,2024-03,March 2024,False
123,381305,64.66224858594886,15.07460095369552,33.980582524271846,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,54.354099576564735,61.94302410518627,74.60575460106864,20.251655024503904,100.0,NV1,INHEALTH LIMITED,66.01941747572815,C_301,Gastroenterology,2024-04,April 2024,False
123,379795,64.84819515613206,14.91272123260513,27.25914861837192,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,55.22185592811041,62.07401978746794,74.51327568706165,19.291419758951243,100.0,NV1,INHEALTH LIMITED,72.74085138162808,C_301,Gastroenterology,2024-05,May 2024,False
123,380079,64.5587513887049,14.40887332949746,25.254104769351056,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,54.84619710147774,60.64382139148494,73.81105659601658,18.964859494538842,99.84555984555985,NV1,INHEALTH LIMITED,74.59145507620879,C_301,Gastroenterology,2024-06,June 2024,False
122,378638,64.81841422324624,13.58603827590783,30.607082630691398,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,55.30381281203976,63.327713861360635,72.30802396798373,17.00421115594397,99.81226533166458,NV1,INHEALTH LIMITED,69.20518270097318,C_301,Gastroenterology,2024-07,July 2024,False
124,380789,65.04434536006953,13.98197742795357,31.434830230010952,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,55.444405395180375,62.78174464545242,72.41365334288824,16.969247947707863,99.85785358919688,NV1,INHEALTH LIMITED,68.42302335918592,C_301,Gastroenterology,2024-08,August 2024,False
124,380569,65.65827755356163,13.605434640056362,39.42176870748299,RWH,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,56.23186137543006,64.28590366550785,74.0948301191709,17.862968743740836,99.70104633781764,NV1,INHEALTH LIMITED,60.279277630334654,C_301,Gastroenterology,2024-09,September 2024,False
126,383415,65.99553488943944,13.919802970510615,31.95364238410596,NTE02,ST HUGH'S HOSPITAL,56.01214890096834,62.90989804177973,77.1706961911526,21.15854729018426,99.85925404644617,NV1,INHEALTH LIMITED,67.9056116623402,C_301,Gastroenterology,2024-10,October 2024,False
